estaca;Area;Esfuerzo;size;distancia;m;c
1;35;1;1;10;1;0
1;35;1;1;13;1;0
1;35;1;2;14;2;0
1;35;1;1;16;0;1
1;35;1;1;18;1;0
1;35;1;1;20;0;1
2;35;1;2;1;1;1
2;35;1;3;2;1;2
2;35;1;2;3;0;2
2;35;1;4;4;1;3
2;35;1;10;5;6;4
2;35;1;13;6;11;2
2;35;1;13;7;11;2
2;35;1;8;8;5;3
2;35;1;14;9;7;7
2;35;1;9;10;5;4
2;35;1;11;11;4;7
2;35;1;6;12;1;5
2;35;1;4;13;1;3
2;35;1;3;14;0;3
2;35;1;9;15;9;0
2;35;1;16;16;11;5
2;35;1;8;17;5;3
2;35;1;14;18;8;6
2;35;1;11;19;9;2
2;35;1;21;20;17;4
3;35;1;3;3;0;3
3;35;1;4;4;1;3
3;35;1;10;5;7;3
3;35;1;12;6;3;9
3;35;1;18;7;6;12
3;35;1;16;8;6;10
3;35;1;11;9;6;5
3;35;1;23;10;14;9
3;35;1;17;11;13;4
3;35;1;21;12;15;6
3;35;1;7;13;3;4
3;35;1;15;14;8;7
3;35;1;7;15;5;2
3;35;1;13;16;9;4
3;35;1;17;17;4;13
3;35;1;13;18;8;5
3;35;1;18;19;9;9
3;35;1;12;20;6;6
4;35;1;1;3;1;0
4;35;1;2;4;0;2
4;35;1;3;5;2;1
4;35;1;2;6;0;2
4;35;1;2;7;1;1
4;35;1;4;8;0;4
4;35;1;6;9;1;5
4;35;1;8;10;3;5
4;35;1;10;11;3;7
4;35;1;2;12;1;1
4;35;1;14;13;5;9
4;35;1;12;14;6;6
4;35;1;5;15;3;2
4;35;1;10;16;6;4
4;35;1;1;17;1;0
4;35;1;5;18;3;2
4;35;1;3;19;2;1
4;35;1;11;20;7;4
5;35;1;1;3;1;0
5;35;1;1;5;1;0
5;35;1;7;6;2;5
5;35;1;4;7;3;1
5;35;1;4;8;3;1
5;35;1;13;9;9;4
5;35;1;13;10;9;4
5;35;1;3;11;3;0
5;35;1;7;12;5;2
