estaca;Area;Esfuerzo;size;distancia;M;C
13;35;1;8;15;0;8
13;35;1;16;16;1;15
13;35;1;7;17;3;4
13;35;1;11;18;0;11
13;35;1;8;19;2;6
13;35;1;39;20;1;38
14;35;1;2;4;2;0
14;35;1;7;5;7;0
14;35;1;10;6;10;0
14;35;1;14;7;14;0
14;35;1;16;8;16;0
14;35;1;15;9;15;0
14;35;1;12;10;12;0
14;35;1;11;11;11;0
14;35;1;9;12;9;0
14;35;1;17;13;17;0
14;35;1;10;14;10;0
14;35;1;14;15;14;0
14;35;1;13;16;13;0
14;35;1;7;17;7;0
14;35;1;5;18;3;2
14;35;1;11;19;11;0
14;35;1;11;20;11;0
15;35;1;3;3;1;2
15;35;1;1;4;0;1
15;35;1;4;5;2;2
15;35;1;2;6;1;1
15;35;1;4;7;1;3
15;35;1;7;8;4;3
15;35;1;9;9;4;5
15;35;1;14;10;5;9
15;35;1;12;11;3;9
15;35;1;8;12;4;4
15;35;1;7;13;2;5
15;35;1;9;14;3;6
15;35;1;11;15;6;5
15;35;1;10;16;4;6
15;35;1;12;17;7;5
15;35;1;16;18;12;4
15;35;1;20;19;14;6
15;35;1;33;20;29;4
16;35;1;1;2;0;1
16;35;1;1;3;0;1
16;35;1;1;5;0;1
16;35;1;5;6;0;5
16;35;1;7;7;0;7
16;35;1;4;8;0;4
16;35;1;9;9;0;9
16;35;1;8;10;0;8
16;35;1;4;11;0;4
16;35;1;9;12;3;6
16;35;1;11;13;4;7
16;35;1;12;14;4;8
16;35;1;10;15;5;5
16;35;1;6;16;4;2
16;35;1;7;17;0;7
16;35;1;6;18;0;6
16;35;1;6;19;0;6
16;35;1;14;20;0;14
17;35;1;1;2;0;1
17;35;1;1;4;0;1
17;35;1;3;5;3;0
17;35;1;9;6;8;1
17;35;1;6;7;5;1
17;35;1;6;8;4;2
17;35;1;7;9;6;1
17;35;1;9;10;4;5
17;35;1;16;11;11;5
17;35;1;7;12;6;1
17;35;1;8;13;6;2
17;35;1;16;14;13;3
17;35;1;13;15;11;2
17;35;1;15;16;12;3
17;35;1;17;17;17;0
17;35;1;30;18;25;5
17;35;1;19;19;16;3
17;35;1;17;20;15;2
17;35;1;1;105;1;0
17;35;1;1;147;0;1
18;35;1;4;2;4;0
18;35;1;2;3;2;0
18;35;1;5;4;5;0
18;35;1;4;6;4;0
18;35;1;7;7;7;0
18;35;1;11;8;11;0
18;35;1;8;9;8;0
18;35;1;16;10;16;0
18;35;1;8;11;8;0
18;35;1;12;12;12;0
18;35;1;23;13;23;0
18;35;1;20;14;20;0
18;35;1;18;15;17;1
18;35;1;20;16;19;1
18;35;1;8;17;7;1
18;35;1;13;18;10;3
18;35;1;13;19;12;1
18;35;1;15;20;15;0
19;35;1;2;2;2;0
19;35;1;4;3;4;0
19;35;1;8;5;8;0
19;35;1;3;6;3;0
19;35;1;4;8;4;0
19;35;1;4;10;4;0
19;35;1;5;11;5;0
19;35;1;6;12;6;0
19;35;1;5;13;3;2
19;35;1;4;14;4;0
19;35;1;8;15;8;0
19;35;1;3;16;3;0
19;35;1;6;17;6;0
19;35;1;7;18;7;0
19;35;1;21;19;20;1
19;35;1;28;20;23;5
20;35;1;6;5;6;0
20;35;1;4;6;4;0
20;35;1;2;7;2;0
20;35;1;5;8;5;0
20;35;1;1;10;1;0
20;35;1;2;11;2;0
20;35;1;4;12;4;0
20;35;1;15;13;15;0
20;35;1;10;14;10;0
20;35;1;30;15;30;0
20;35;1;11;16;11;0
20;35;1;6;17;6;0
20;35;1;12;18;12;0
20;35;1;14;19;14;0
20;35;1;11;20;11;0
21;35;1;2;1;2;0
21;35;1;3;2;3;0
21;35;1;3;3;3;0
21;35;1;8;4;8;0
21;35;1;12;5;11;1
21;35;1;19;6;18;1
21;35;1;12;7;12;0
21;35;1;17;8;17;0
21;35;1;12;9;10;2
21;35;1;14;10;14;0
21;35;1;15;11;15;0
21;35;1;12;12;12;0
21;35;1;12;13;12;0
21;35;1;7;14;7;0
21;35;1;14;15;14;0
21;35;1;12;16;12;0
21;35;1;6;17;6;0
21;35;1;10;18;10;0
21;35;1;13;19;13;0
21;35;1;16;20;16;0
22;35;1;1;2;1;0
22;35;1;2;3;2;0
22;35;1;7;4;7;0
22;35;1;11;5;11;0
22;35;1;1;6;1;0
22;35;1;2;7;2;0
22;35;1;7;8;6;1
22;35;1;10;9;9;1
22;35;1;14;10;12;2
22;35;1;8;11;8;0
22;35;1;9;12;5;4
22;35;1;20;13;19;1
22;35;1;19;14;12;7
22;35;1;18;15;15;3
22;35;1;11;16;6;5
22;35;1;10;17;10;0
22;35;1;20;18;16;4
22;35;1;13;19;10;3
22;35;1;5;20;3;2
23;35;1;2;5;2;0
23;35;1;1;6;1;0
23;35;1;5;7;5;0
23;35;1;4;8;3;1
23;35;1;1;9;1;0
23;35;1;2;10;2;0
23;35;1;4;11;3;1
23;35;1;12;12;8;4
23;35;1;18;13;16;2
23;35;1;7;14;5;2
23;35;1;9;15;6;3
23;35;1;17;16;16;1
23;35;1;8;17;6;2
23;35;1;11;18;9;2
23;35;1;16;19;12;4
23;35;1;22;20;18;4
24;35;1;2;2;2;0
24;35;1;3;3;3;0
24;35;1;8;4;8;0
24;35;1;3;5;3;0
24;35;1;4;6;3;1
24;35;1;13;7;9;4
24;35;1;14;8;13;1
24;35;1;11;9;10;1
24;35;1;9;10;8;1
24;35;1;19;11;18;1
24;35;1;18;12;17;1
24;35;1;12;13;12;0
24;35;1;17;14;15;2
24;35;1;19;15;17;2
24;35;1;20;16;19;1
24;35;1;20;17;17;3
24;35;1;17;18;16;1
24;35;1;57;19;53;4
24;35;1;41;20;35;6
24;35;1;1;1011;1;0
25;35;1;1;4;1;0
25;35;1;1;10;1;0
25;35;1;1;11;1;0
25;35;1;1;12;0;1
25;35;1;1;13;1;0
25;35;1;1;14;1;0
25;35;1;7;15;5;2
25;35;1;5;16;4;1
25;35;1;4;17;4;0
25;35;1;9;18;5;4
25;35;1;6;19;4;2
25;35;1;2;20;0;2
26;35;1;1;3;1;0
26;35;1;3;5;3;0
26;35;1;3;6;3;0
26;35;1;6;7;6;0
26;35;1;3;8;3;0
26;35;1;6;9;6;0
26;35;1;5;10;5;0
26;35;1;1;12;0;1
26;35;1;3;13;3;0
26;35;1;1;14;0;1
26;35;1;4;16;4;0
26;35;1;3;17;3;0
26;35;1;5;18;5;0
26;35;1;2;19;2;0
26;35;1;6;20;6;0
27;35;1;5;4;5;0
27;35;1;2;5;2;0
27;35;1;1;6;1;0
27;35;1;4;7;4;0
27;35;1;5;8;5;0
27;35;1;1;9;1;0
27;35;1;9;10;9;0
27;35;1;2;11;2;0
27;35;1;9;12;9;0
27;35;1;5;13;5;0
27;35;1;13;14;13;0
27;35;1;10;15;9;1
27;35;1;13;16;13;0
27;35;1;22;17;22;0
27;35;1;11;18;9;2
27;35;1;5;19;5;0
27;35;1;12;20;11;1
28;35;1;1;3;1;0
28;35;1;2;5;2;0
28;35;1;1;6;1;0
28;35;1;3;7;2;1
28;35;1;7;8;6;1
28;35;1;5;9;2;3
28;35;1;5;10;1;4
28;35;1;2;11;2;0
28;35;1;6;12;3;3
28;35;1;1;13;1;0
28;35;1;1;15;0;1
28;35;1;3;16;0;3
28;35;1;3;17;2;1
28;35;1;5;18;2;3
28;35;1;5;19;0;5
28;35;1;10;20;2;8
29;35;1;3;4;3;0
29;35;1;3;5;3;0
29;35;1;2;6;2;0
29;35;1;6;7;6;0
29;35;1;7;8;7;0
29;35;1;8;9;8;0
29;35;1;2;10;1;1
29;35;1;14;11;9;5
29;35;1;14;12;13;1
29;35;1;23;13;20;3
29;35;1;19;14;17;2
29;35;1;19;15;19;0
29;35;1;13;16;11;2
29;35;1;21;17;15;6
29;35;1;9;18;7;2
29;35;1;10;19;7;3
29;35;1;12;20;9;3
30;35;1;2;5;2;0
30;35;1;3;6;3;0
30;35;1;6;7;5;1
30;35;1;12;8;8;4
30;35;1;11;9;10;1
30;35;1;7;10;7;0
30;35;1;9;11;7;2
30;35;1;13;12;7;6
30;35;1;14;13;2;12
30;35;1;9;14;6;3
30;35;1;13;15;11;2
30;35;1;18;16;15;3
30;35;1;21;17;20;1
30;35;1;30;18;26;4
30;35;1;20;19;19;1
30;35;1;33;20;29;4
30;35;1;1;1316;1;0
31;35;1;3;3;3;0
31;35;1;1;4;0;1
