Lugar;Area;estaca;Esfuerzo;tipo;distancia
MonteLeon;35,3012;1;1;m;10
MonteLeon;35,3012;1;1;m;13
MonteLeon;35,3012;1;1;m;14
MonteLeon;35,3012;1;1;m;14
MonteLeon;35,3012;1;1;c;16
MonteLeon;35,3012;1;1;m;18
MonteLeon;35,3012;1;1;c;20
MonteLeon;35,3012;2;1;m;1
MonteLeon;35,3012;2;1;c;1
MonteLeon;35,3012;2;1;m;2
MonteLeon;35,3012;2;1;c;2
MonteLeon;35,3012;2;1;c;2
MonteLeon;35,3012;2;1;c;3
MonteLeon;35,3012;2;1;c;3
MonteLeon;35,3012;2;1;m;4
MonteLeon;35,3012;2;1;c;4
MonteLeon;35,3012;2;1;c;4
MonteLeon;35,3012;2;1;c;4
MonteLeon;35,3012;2;1;m;5
MonteLeon;35,3012;2;1;m;5
MonteLeon;35,3012;2;1;m;5
MonteLeon;35,3012;2;1;m;5
MonteLeon;35,3012;2;1;m;5
MonteLeon;35,3012;2;1;m;5
MonteLeon;35,3012;2;1;c;5
MonteLeon;35,3012;2;1;c;5
MonteLeon;35,3012;2;1;c;5
MonteLeon;35,3012;2;1;c;5
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;m;6
MonteLeon;35,3012;2;1;c;6
MonteLeon;35,3012;2;1;c;6
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;m;7
MonteLeon;35,3012;2;1;c;7
MonteLeon;35,3012;2;1;c;7
MonteLeon;35,3012;2;1;m;8
MonteLeon;35,3012;2;1;m;8
MonteLeon;35,3012;2;1;m;8
MonteLeon;35,3012;2;1;m;8
MonteLeon;35,3012;2;1;m;8
