estaca;Area;Esfuerzo;size;distancia;m;c
1;35;1;1;3;0;1
1;35;1;1;6;1;0
1;35;1;3;7;3;0
1;35;1;2;9;2;0
1;35;1;2;10;2;0
1;35;1;2;11;1;1
1;35;1;3;12;3;0
1;35;1;3;13;2;1
1;35;1;6;14;6;0
1;35;1;3;15;3;0
1;35;1;4;16;4;0
1;35;1;4;17;4;0
1;35;1;5;18;5;0
1;35;1;6;19;5;1
1;35;1;4;20;4;0
2;35;1;2;2;0;2
2;35;1;4;3;1;3
2;35;1;9;4;5;4
2;35;1;11;5;7;4
2;35;1;14;6;8;6
2;35;1;21;7;12;9
2;35;1;22;8;8;14
2;35;1;19;9;6;13
2;35;1;13;10;3;10
2;35;1;11;11;1;10
2;35;1;12;12;5;7
2;35;1;6;13;4;2
2;35;1;4;14;2;2
2;35;1;11;15;6;5
2;35;1;15;16;10;5
2;35;1;19;17;14;5
2;35;1;24;18;20;4
2;35;1;20;19;12;8
2;35;1;39;20;28;11
3;35;1;6;3;0;6
3;35;1;5;4;0;5
3;35;1;13;5;1;12
3;35;1;10;6;0;10
3;35;1;9;7;5;4
3;35;1;18;8;4;14
3;35;1;15;9;3;12
3;35;1;30;10;20;10
3;35;1;13;11;9;4
3;35;1;7;12;3;4
3;35;1;12;13;9;3
3;35;1;6;14;3;3
3;35;1;17;15;6;11
3;35;1;12;16;7;5
3;35;1;10;17;2;8
3;35;1;24;18;16;8
3;35;1;8;19;1;7
3;35;1;24;20;13;11
4;35;1;1;1;1;0
4;35;1;1;4;1;0
4;35;1;2;5;1;1
4;35;1;1;6;1;0
4;35;1;4;7;4;0
4;35;1;5;8;0;5
4;35;1;7;9;3;4
4;35;1;3;10;1;2
4;35;1;3;11;2;1
4;35;1;6;12;4;2
4;35;1;8;13;3;5
4;35;1;14;14;3;11
4;35;1;9;15;4;5
4;35;1;6;16;2;4
4;35;1;5;17;5;0
4;35;1;8;18;4;4
4;35;1;1;19;1;0
4;35;1;20;20;13;7
5;35;1;5;3;2;3
5;35;1;3;5;0;3
5;35;1;2;6;1;1
5;35;1;4;7;2;2
5;35;1;18;8;10;8
5;35;1;4;9;1;3
5;35;1;6;10;3;3
5;35;1;11;11;6;5
5;35;1;6;12;2;4
5;35;1;7;13;3;4
5;35;1;9;14;9;0
5;35;1;13;15;8;5
5;35;1;3;16;3;0
5;35;1;12;17;12;0
5;35;1;14;18;12;2
5;35;1;9;19;9;0
5;35;1;8;20;8;0
6;35;1;5;2;5;0
6;35;1;2;3;2;0
6;35;1;5;4;4;1
6;35;1;4;5;4;0
6;35;1;6;6;6;0
6;35;1;6;7;5;1
6;35;1;5;8;5;0
6;35;1;9;9;7;2
6;35;1;9;10;9;0
6;35;1;3;11;3;0
6;35;1;10;12;8;2
6;35;1;9;13;5;4
6;35;1;6;14;5;1
6;35;1;5;15;5;0
6;35;1;9;16;5;4
6;35;1;12;17;10;2
6;35;1;4;18;2;2
6;35;1;12;19;7;5
6;35;1;6;20;5;1
7;35;1;11;3;6;5
7;35;1;12;4;10;2
7;35;1;22;5;17;5
7;35;1;19;6;16;3
7;35;1;10;7;9;1
7;35;1;21;8;15;6
7;35;1;18;9;14;4
7;35;1;6;10;5;1
7;35;1;7;11;7;0
7;35;1;13;12;12;1
7;35;1;14;13;13;1
7;35;1;10;14;7;3
7;35;1;18;15;16;2
7;35;1;5;16;5;0
7;35;1;9;17;7;2
7;35;1;6;18;6;0
7;35;1;14;19;12;2
7;35;1;19;20;17;2
8;35;1;2;6;0;2
8;35;1;5;7;0;5
8;35;1;4;8;0;4
8;35;1;2;9;0;2
8;35;1;2;10;0;2
8;35;1;2;11;0;2
8;35;1;2;12;0;2
8;35;1;6;13;0;6
8;35;1;1;14;0;1
8;35;1;1;15;0;1
8;35;1;9;16;0;9
8;35;1;8;17;0;8
8;35;1;6;18;0;6
8;35;1;15;19;6;9
8;35;1;20;20;9;11
9;35;1;1;2;0;1
9;35;1;6;4;2;4
9;35;1;5;5;5;0
9;35;1;3;6;3;0
9;35;1;1;7;1;0
9;35;1;2;9;2;0
9;35;1;1;10;1;0
9;35;1;2;11;2;0
9;35;1;3;12;3;0
9;35;1;2;13;2;0
9;35;1;3;14;3;0
9;35;1;4;15;4;0
9;35;1;9;16;9;0
9;35;1;11;17;10;1
9;35;1;9;18;9;0
9;35;1;3;19;3;0
9;35;1;4;20;4;0
9;35;1;1;NA;1;0
10;35;1;3;4;2;1
10;35;1;5;5;5;0
10;35;1;5;6;5;0
10;35;1;7;7;7;0
10;35;1;10;8;10;0
10;35;1;4;9;3;1
10;35;1;4;10;2;2
10;35;1;6;11;4;2
10;35;1;5;12;0;5
10;35;1;1;13;0;1
10;35;1;2;14;2;0
10;35;1;4;15;3;1
10;35;1;4;16;2;2
10;35;1;8;17;6;2
10;35;1;14;18;10;4
10;35;1;16;19;12;4
10;35;1;10;20;8;2
11;35;1;1;1;1;0
11;35;1;1;2;1;0
11;35;1;9;3;9;0
11;35;1;12;4;7;5
11;35;1;13;5;8;5
11;35;1;10;6;8;2
11;35;1;18;7;15;3
11;35;1;11;8;8;3
11;35;1;6;9;4;2
11;35;1;20;10;16;4
11;35;1;11;11;5;6
11;35;1;5;12;5;0
11;35;1;10;13;10;0
11;35;1;8;14;6;2
11;35;1;5;15;3;2
11;35;1;4;16;1;3
11;35;1;2;17;1;1
11;35;1;7;18;7;0
11;35;1;11;19;11;0
11;35;1;15;20;14;1
12;35;1;4;1;4;0
12;35;1;9;2;9;0
12;35;1;7;3;7;0
12;35;1;7;4;7;0
12;35;1;8;5;8;0
12;35;1;11;6;11;0
12;35;1;6;7;6;0
12;35;1;7;8;6;1
12;35;1;2;9;2;0
12;35;1;7;10;7;0
12;35;1;6;11;6;0
12;35;1;10;12;10;0
12;35;1;10;13;10;0
12;35;1;8;14;8;0
12;35;1;13;15;13;0
12;35;1;12;16;11;1
12;35;1;12;17;12;0
12;35;1;10;18;10;0
12;35;1;16;19;15;1
12;35;1;9;20;9;0
13;35;1;3;2;0;3
13;35;1;10;3;2;8
13;35;1;12;4;0;12
13;35;1;20;5;4;16
13;35;1;9;6;0;9
13;35;1;12;7;0;12
13;35;1;13;8;0;13
13;35;1;7;9;0;7
13;35;1;7;10;0;7
13;35;1;14;11;0;14
13;35;1;8;12;0;8
13;35;1;8;13;0;8
13;35;1;7;14;1;6
13;35;1;11;15;3;8
13;35;1;14;16;4;10
13;35;1;20;17;9;11
13;35;1;9;18;1;8
13;35;1;25;19;9;16
13;35;1;20;20;4;16
14;35;1;3;5;2;1
14;35;1;8;6;8;0
14;35;1;12;7;12;0
14;35;1;16;8;16;0
14;35;1;25;9;25;0
14;35;1;12;10;12;0
14;35;1;14;11;14;0
14;35;1;14;12;14;0
14;35;1;14;13;14;0
14;35;1;13;14;13;0
14;35;1;12;15;12;0
14;35;1;3;16;3;0
14;35;1;12;17;10;2
14;35;1;12;18;10;2
14;35;1;13;19;13;0
14;35;1;25;20;25;0
15;35;1;6;4;2;4
15;35;1;6;5;4;2
15;35;1;4;6;3;1
15;35;1;13;7;10;3
15;35;1;17;8;13;4
15;35;1;10;9;7;3
15;35;1;14;10;10;4
15;35;1;12;11;6;6
15;35;1;7;12;3;4
15;35;1;3;13;0;3
15;35;1;14;14;11;3
15;35;1;7;15;3;4
15;35;1;11;16;7;4
15;35;1;15;17;11;4
15;35;1;16;18;12;4
15;35;1;25;19;21;4
15;35;1;34;20;30;4
16;35;1;1;2;0;1
16;35;1;4;4;0;4
16;35;1;4;5;0;4
16;35;1;7;6;0;7
16;35;1;7;7;0;7
16;35;1;8;8;2;6
16;35;1;11;9;1;10
16;35;1;16;10;1;15
16;35;1;5;11;0;5
16;35;1;11;12;1;10
16;35;1;9;13;1;8
16;35;1;8;14;0;8
16;35;1;21;15;8;13
16;35;1;9;16;0;9
16;35;1;10;17;2;8
16;35;1;8;18;0;8
16;35;1;12;19;0;12
16;35;1;9;20;0;9
17;35;1;1;4;0;1
17;35;1;11;5;9;2
17;35;1;10;6;9;1
17;35;1;5;7;4;1
17;35;1;8;8;5;3
17;35;1;11;9;7;4
17;35;1;7;10;3;4
17;35;1;13;11;8;5
17;35;1;15;12;13;2
17;35;1;16;13;13;3
17;35;1;22;14;17;5
17;35;1;23;15;21;2
17;35;1;26;16;21;5
17;35;1;28;17;26;2
17;35;1;31;18;25;6
17;35;1;27;19;18;9
17;35;1;19;20;17;2
18;35;1;3;2;3;0
18;35;1;5;3;5;0
18;35;1;1;4;1;0
18;35;1;8;5;8;0
18;35;1;3;6;3;0
18;35;1;10;7;10;0
18;35;1;10;8;10;0
18;35;1;5;9;5;0
18;35;1;13;10;12;1
18;35;1;13;11;13;0
18;35;1;18;12;18;0
18;35;1;23;13;23;0
18;35;1;21;14;21;0
18;35;1;16;15;16;0
18;35;1;17;16;15;2
18;35;1;19;17;12;7
18;35;1;21;18;18;3
18;35;1;22;19;13;9
18;35;1;19;20;16;3
19;35;1;2;2;2;0
19;35;1;3;3;3;0
19;35;1;4;4;4;0
19;35;1;2;5;2;0
19;35;1;2;6;2;0
19;35;1;1;7;1;0
19;35;1;4;9;4;0
19;35;1;4;10;4;0
19;35;1;5;11;4;1
19;35;1;3;12;2;1
19;35;1;5;13;5;0
19;35;1;6;14;6;0
19;35;1;5;15;5;0
19;35;1;6;16;6;0
19;35;1;8;17;7;1
19;35;1;15;18;14;1
19;35;1;21;19;19;2
19;35;1;26;20;26;0
20;35;1;3;5;3;0
20;35;1;6;6;6;0
20;35;1;4;7;4;0
20;35;1;4;8;4;0
20;35;1;5;9;5;0
20;35;1;1;11;1;0
20;35;1;6;12;6;0
20;35;1;15;13;15;0
20;35;1;17;14;17;0
20;35;1;18;15;15;3
20;35;1;14;16;14;0
20;35;1;15;17;14;1
20;35;1;14;18;14;0
20;35;1;19;19;19;0
20;35;1;30;20;30;0
21;35;1;3;2;3;0
21;35;1;3;3;3;0
21;35;1;15;4;15;0
21;35;1;18;5;18;0
21;35;1;18;6;18;0
21;35;1;16;7;15;1
21;35;1;25;8;25;0
21;35;1;20;9;20;0
21;35;1;13;10;13;0
21;35;1;18;11;18;0
21;35;1;13;12;13;0
21;35;1;14;13;14;0
21;35;1;17;14;17;0
21;35;1;10;15;9;1
21;35;1;6;16;6;0
21;35;1;6;17;6;0
21;35;1;6;18;6;0
21;35;1;10;19;10;0
21;35;1;21;20;21;0
22;35;1;1;3;1;0
22;35;1;4;4;4;0
22;35;1;14;5;14;0
22;35;1;13;6;13;0
22;35;1;1;8;1;0
22;35;1;11;9;8;3
22;35;1;10;10;9;1
22;35;1;11;11;10;1
22;35;1;12;12;10;2
22;35;1;5;13;3;2
22;35;1;13;14;12;1
22;35;1;24;15;20;4
22;35;1;23;16;18;5
22;35;1;18;17;15;3
22;35;1;17;18;12;5
22;35;1;19;19;13;6
22;35;1;18;20;15;3
23;35;1;1;5;1;0
23;35;1;3;6;2;1
23;35;1;7;7;7;0
23;35;1;5;8;4;1
23;35;1;2;9;2;0
23;35;1;12;10;10;2
23;35;1;10;11;10;0
23;35;1;9;12;8;1
23;35;1;10;13;9;1
23;35;1;17;14;17;0
23;35;1;26;15;24;2
23;35;1;11;16;11;0
23;35;1;16;17;11;5
23;35;1;24;18;22;2
23;35;1;19;19;18;1
23;35;1;20;20;18;2
24;35;1;1;1;1;0
24;35;1;4;2;4;0
24;35;1;3;3;3;0
24;35;1;3;4;3;0
24;35;1;2;5;2;0
24;35;1;6;6;4;2
24;35;1;9;7;7;2
24;35;1;19;8;16;3
24;35;1;22;9;22;0
24;35;1;14;10;13;1
24;35;1;22;11;21;1
24;35;1;17;12;17;0
24;35;1;7;13;6;1
24;35;1;10;14;9;1
24;35;1;10;15;9;1
24;35;1;17;16;16;1
24;35;1;19;17;17;2
24;35;1;20;18;19;1
24;35;1;17;19;13;4
24;35;1;34;20;29;5
25;35;1;1;2;1;0
25;35;1;2;3;2;0
25;35;1;1;5;1;0
25;35;1;1;6;1;0
25;35;1;2;7;2;0
25;35;1;1;8;1;0
25;35;1;2;9;2;0
25;35;1;5;10;5;0
25;35;1;4;11;4;0
