estaca;Area;Esfuerzo;size;distancia;m;c
14;35;1;3;5;3;0
14;35;1;5;6;5;0
14;35;1;8;7;8;0
14;35;1;14;8;14;0
14;35;1;8;9;8;0
14;35;1;14;10;14;0
14;35;1;6;11;4;2
14;35;1;7;12;7;0
14;35;1;17;13;16;1
14;35;1;15;14;15;0
14;35;1;9;15;9;0
14;35;1;9;16;8;1
14;35;1;12;17;12;0
14;35;1;18;18;17;1
14;35;1;17;19;17;0
14;35;1;21;20;21;0
15;35;1;2;3;0;2
15;35;1;3;4;2;1
15;35;1;9;5;4;5
15;35;1;5;6;3;2
15;35;1;8;7;5;3
15;35;1;13;8;11;2
15;35;1;15;9;12;3
15;35;1;10;10;8;2
15;35;1;7;11;2;5
15;35;1;9;12;4;5
15;35;1;9;13;7;2
15;35;1;9;14;5;4
15;35;1;12;15;7;5
15;35;1;4;16;3;1
15;35;1;9;17;6;3
15;35;1;15;18;11;4
15;35;1;11;19;8;3
15;35;1;27;20;22;5
16;35;1;2;2;0;2
16;35;1;1;3;0;1
16;35;1;2;4;0;2
16;35;1;5;5;0;5
16;35;1;10;6;0;10
16;35;1;9;7;0;9
16;35;1;8;8;0;8
16;35;1;13;9;0;13
16;35;1;14;10;2;12
16;35;1;6;11;1;5
16;35;1;12;12;3;9
16;35;1;17;13;2;15
16;35;1;19;14;5;14
16;35;1;18;15;2;16
16;35;1;16;16;5;11
16;35;1;9;17;0;9
16;35;1;9;18;0;9
16;35;1;12;19;1;11
16;35;1;15;20;2;13
17;35;1;6;1;6;0
17;35;1;5;2;5;0
17;35;1;6;3;6;0
17;35;1;4;4;3;1
17;35;1;2;5;2;0
17;35;1;11;6;11;0
17;35;1;9;7;9;0
17;35;1;9;8;8;1
17;35;1;8;9;4;4
17;35;1;10;10;9;1
17;35;1;14;11;13;1
17;35;1;14;12;14;0
17;35;1;10;13;5;5
17;35;1;21;14;21;0
17;35;1;24;15;21;3
17;35;1;17;16;16;1
17;35;1;15;17;15;0
17;35;1;22;18;22;0
17;35;1;22;19;20;2
17;35;1;12;20;10;2
18;35;1;1;1;1;0
18;35;1;3;2;3;0
18;35;1;3;3;3;0
18;35;1;2;4;2;0
18;35;1;2;5;2;0
18;35;1;5;6;5;0
18;35;1;5;7;5;0
18;35;1;6;8;6;0
18;35;1;4;9;4;0
18;35;1;17;10;17;0
18;35;1;10;11;10;0
18;35;1;11;12;11;0
18;35;1;21;13;20;1
18;35;1;18;14;18;0
18;35;1;11;15;11;0
18;35;1;23;16;23;0
18;35;1;11;17;11;0
18;35;1;6;18;6;0
18;35;1;12;20;11;1
19;35;1;2;3;2;0
19;35;1;1;4;1;0
19;35;1;6;5;6;0
19;35;1;3;6;3;0
19;35;1;3;7;3;0
19;35;1;4;8;4;0
19;35;1;7;9;7;0
19;35;1;3;10;3;0
19;35;1;2;11;1;1
19;35;1;2;12;1;1
19;35;1;10;13;10;0
19;35;1;8;14;7;1
19;35;1;8;15;8;0
19;35;1;1;16;0;1
19;35;1;13;17;12;1
19;35;1;8;18;8;0
19;35;1;23;19;22;1
19;35;1;46;20;45;1
20;35;1;1;5;1;0
20;35;1;6;6;6;0
20;35;1;3;7;3;0
20;35;1;3;8;3;0
20;35;1;5;9;5;0
20;35;1;5;11;5;0
20;35;1;5;12;5;0
20;35;1;7;13;7;0
20;35;1;15;14;15;0
20;35;1;23;15;23;0
20;35;1;18;16;18;0
20;35;1;11;17;11;0
20;35;1;7;18;7;0
20;35;1;15;19;15;0
20;35;1;16;20;16;0
21;35;1;10;2;10;0
21;35;1;6;3;6;0
21;35;1;16;4;15;1
21;35;1;27;5;25;2
21;35;1;20;6;20;0
21;35;1;17;7;17;0
21;35;1;15;8;15;0
21;35;1;15;9;15;0
21;35;1;24;10;24;0
21;35;1;16;11;16;0
21;35;1;17;12;17;0
21;35;1;19;13;19;0
21;35;1;17;14;17;0
21;35;1;11;15;11;0
21;35;1;9;16;9;0
21;35;1;6;17;6;0
21;35;1;9;18;9;0
21;35;1;9;19;9;0
21;35;1;17;20;17;0
22;35;1;1;2;1;0
