estaca;Area;Esfuerzo;size;distancia;m;c
1;41,8421;1;0;1;0;0
1;41,8421;1;1;2;1;0
1;41,8421;1;1;3;0;1
1;41,8421;1;3;4;1;2
1;41,8421;1;1;5;0;1
1;41,8421;1;8;6;1;7
1;41,8421;1;1;7;1;0
2;41,8421;1;1;2;0;1
2;41,8421;1;6;3;0;6
2;41,8421;1;7;4;3;4
2;41,8421;1;6;5;4;2
2;41,8421;1;6;6;3;3
2;41,8421;1;7;7;3;4
2;41,8421;1;5;8;1;4
2;41,8421;1;8;9;4;4
2;41,8421;1;9;10;4;5
2;41,8421;1;8;11;2;6
2;41,8421;1;3;12;3;0
2;41,8421;1;2;13;0;2
2;41,8421;1;3;14;1;2
2;41,8421;1;3;15;3;0
2;41,8421;1;7;16;5;2
2;41,8421;1;4;17;2;2
2;41,8421;1;8;18;6;2
2;41,8421;1;9;19;4;5
2;41,8421;1;9;20;4;5
3;41,8421;1;2;2;0;2
3;41,8421;1;2;3;0;2
3;41,8421;1;3;4;0;3
3;41,8421;1;5;5;0;5
3;41,8421;1;6;6;1;5
3;41,8421;1;7;7;3;4
3;41,8421;1;16;8;3;13
3;41,8421;1;12;9;6;6
3;41,8421;1;11;10;7;4
3;41,8421;1;18;11;6;12
3;41,8421;1;15;12;9;6
3;41,8421;1;15;13;9;6
3;41,8421;1;17;14;8;9
3;41,8421;1;19;15;3;16
3;41,8421;1;10;16;3;7
3;41,8421;1;15;17;7;8
3;41,8421;1;14;18;4;10
3;41,8421;1;20;19;12;8
3;41,8421;1;17;20;9;8
4;41,8421;1;1;2;1;0
4;41,8421;1;1;3;0;1
4;41,8421;1;3;4;1;2
4;41,8421;1;1;5;0;1
4;41,8421;1;8;6;1;7
4;41,8421;1;4;7;1;3
4;41,8421;1;3;8;0;3
4;41,8421;1;3;9;0;3
4;41,8421;1;4;10;1;3
4;41,8421;1;10;11;3;7
4;41,8421;1;11;12;2;9
4;41,8421;1;3;13;1;2
4;41,8421;1;3;14;0;3
4;41,8421;1;8;15;2;6
4;41,8421;1;3;16;1;2
4;41,8421;1;4;17;2;2
4;41,8421;1;6;18;2;4
4;41,8421;1;5;19;4;1
4;41,8421;1;11;20;3;8
5;41,8421;1;1;3;0;1
5;41,8421;1;1;7;0;1
5;41,8421;1;5;8;1;4
5;41,8421;1;5;9;0;5
5;41,8421;1;4;10;0;4
5;41,8421;1;1;11;0;1
5;41,8421;1;3;13;0;3
5;41,8421;1;3;14;0;3
5;41,8421;1;8;15;2;6
5;41,8421;1;6;16;4;2
5;41,8421;1;12;17;7;5
5;41,8421;1;8;18;7;1
5;41,8421;1;6;19;5;1
5;41,8421;1;11;20;3;8
6;41,8421;1;4;3;4;0
6;41,8421;1;2;4;2;0
6;41,8421;1;6;5;5;1
6;41,8421;1;3;6;3;0
6;41,8421;1;6;7;6;0
6;41,8421;1;5;8;5;0
6;41,8421;1;5;9;4;1
6;41,8421;1;7;10;6;1
6;41,8421;1;4;11;4;0
6;41,8421;1;3;12;3;0
6;41,8421;1;8;13;6;2
6;41,8421;1;5;14;3;2
6;41,8421;1;8;15;6;2
6;41,8421;1;2;16;1;1
6;41,8421;1;3;17;3;0
6;41,8421;1;3;18;1;2
6;41,8421;1;7;19;5;2
6;41,8421;1;11;20;6;5
7;41,8421;1;3;2;2;1
7;41,8421;1;6;3;6;0
7;41,8421;1;11;4;8;3
7;41,8421;1;9;5;8;1
7;41,8421;1;16;6;11;5
7;41,8421;1;15;7;12;3
7;41,8421;1;24;8;22;2
7;41,8421;1;13;9;12;1
7;41,8421;1;10;10;7;3
7;41,8421;1;13;11;6;7
7;41,8421;1;22;12;12;10
7;41,8421;1;12;13;9;3
7;41,8421;1;21;14;13;8
7;41,8421;1;22;15;16;6
7;41,8421;1;8;16;5;3
7;41,8421;1;18;17;5;13
7;41,8421;1;12;18;7;5
7;41,8421;1;12;19;6;6
7;41,8421;1;9;20;5;4
8;41,8421;1;1;4;0;1
8;41,8421;1;1;5;0;1
8;41,8421;1;5;6;0;5
8;41,8421;1;1;7;0;1
8;41,8421;1;2;8;0;2
8;41,8421;1;8;9;0;8
8;41,8421;1;1;10;0;1
8;41,8421;1;4;12;0;4
8;41,8421;1;2;14;0;2
8;41,8421;1;4;15;0;4
8;41,8421;1;4;16;0;4
8;41,8421;1;9;17;0;9
8;41,8421;1;8;18;0;8
8;41,8421;1;16;19;4;12
8;41,8421;1;23;20;4;19
9;41,8421;1;4;1;4;0
9;41,8421;1;4;2;4;0
9;41,8421;1;2;4;2;0
9;41,8421;1;1;5;1;0
9;41,8421;1;2;7;2;0
9;41,8421;1;2;9;2;0
9;41,8421;1;3;10;3;0
9;41,8421;1;1;11;1;0
9;41,8421;1;2;12;2;0
9;41,8421;1;4;13;4;0
9;41,8421;1;5;14;5;0
9;41,8421;1;4;15;4;0
9;41,8421;1;10;16;10;0
9;41,8421;1;3;17;3;0
9;41,8421;1;7;18;6;1
9;41,8421;1;5;19;5;0
9;41,8421;1;7;20;7;0
10;41,8421;1;1;4;0;1
10;41,8421;1;3;5;1;2
10;41,8421;1;6;6;3;3
10;41,8421;1;3;7;3;0
10;41,8421;1;8;8;5;3
10;41,8421;1;10;9;6;4
10;41,8421;1;9;10;5;4
10;41,8421;1;4;11;1;3
10;41,8421;1;1;13;0;1
10;41,8421;1;1;14;1;0
10;41,8421;1;7;15;3;4
10;41,8421;1;2;16;1;1
10;41,8421;1;1;17;0;1
10;41,8421;1;4;18;3;1
10;41,8421;1;8;19;6;2
10;41,8421;1;11;20;8;3
11;41,8421;1;2;1;1;1
11;41,8421;1;2;2;1;1
11;41,8421;1;2;3;2;0
11;41,8421;1;10;4;9;1
11;41,8421;1;6;5;5;1
11;41,8421;1;4;6;3;1
11;41,8421;1;11;8;7;4
11;41,8421;1;3;9;1;2
11;41,8421;1;6;10;2;4
11;41,8421;1;2;11;1;1
11;41,8421;1;5;12;2;3
11;41,8421;1;6;13;2;4
11;41,8421;1;6;14;5;1
11;41,8421;1;2;15;1;1
11;41,8421;1;1;16;0;1
11;41,8421;1;3;17;1;2
11;41,8421;1;9;18;6;3
11;41,8421;1;6;19;2;4
11;41,8421;1;3;20;1;2
12;41,8421;1;8;1;8;0
12;41,8421;1;8;2;8;0
12;41,8421;1;2;3;2;0
12;41,8421;1;4;4;4;0
12;41,8421;1;5;5;5;0
12;41,8421;1;4;6;4;0
12;41,8421;1;11;7;11;0
12;41,8421;1;7;8;7;0
12;41,8421;1;5;9;5;0
12;41,8421;1;5;10;5;0
12;41,8421;1;11;11;11;0
12;41,8421;1;7;12;7;0
12;41,8421;1;9;13;9;0
12;41,8421;1;5;14;5;0
12;41,8421;1;6;15;6;0
12;41,8421;1;6;16;6;0
12;41,8421;1;9;17;9;0
12;41,8421;1;14;18;14;0
12;41,8421;1;9;19;9;0
12;41,8421;1;14;20;13;1
13;41,8421;1;2;2;1;1
13;41,8421;1;2;4;0;2
13;41,8421;1;3;5;0;3
13;41,8421;1;1;6;0;1
13;41,8421;1;5;7;0;5
13;41,8421;1;4;8;0;4
13;41,8421;1;6;9;0;6
13;41,8421;1;6;10;0;6
13;41,8421;1;6;11;0;6
13;41,8421;1;4;12;0;4
13;41,8421;1;8;13;0;8
13;41,8421;1;5;14;1;4
13;41,8421;1;2;15;0;2
13;41,8421;1;5;16;0;5
13;41,8421;1;7;17;1;6
13;41,8421;1;5;18;0;5
13;41,8421;1;6;19;0;6
13;41,8421;1;3;20;0;3
14;41,8421;1;0;;;
15;41,8421;1;2;1;0;2
15;41,8421;1;1;2;0;1
15;41,8421;1;2;3;1;1
15;41,8421;1;4;4;0;4
15;41,8421;1;3;5;1;2
15;41,8421;1;7;6;4;3
15;41,8421;1;6;7;0;6
15;41,8421;1;6;8;3;3
15;41,8421;1;12;9;6;6
15;41,8421;1;12;10;7;5
15;41,8421;1;13;11;2;11
15;41,8421;1;10;12;5;5
15;41,8421;1;16;13;8;8
15;41,8421;1;6;14;2;4
15;41,8421;1;7;15;2;5
15;41,8421;1;4;16;3;1
15;41,8421;1;23;17;15;8
15;41,8421;1;17;18;8;9
15;41,8421;1;13;19;11;2
15;41,8421;1;25;20;20;5
16;41,8421;1;2;1;0;2
16;41,8421;1;3;3;0;3
16;41,8421;1;1;4;0;1
16;41,8421;1;4;5;0;4
16;41,8421;1;6;6;0;6
16;41,8421;1;7;7;0;7
16;41,8421;1;10;8;0;10
16;41,8421;1;3;9;0;3
16;41,8421;1;7;10;1;6
16;41,8421;1;11;11;4;7
16;41,8421;1;3;12;0;3
16;41,8421;1;9;13;0;9
16;41,8421;1;8;14;0;8
16;41,8421;1;11;15;2;9
16;41,8421;1;14;16;5;9
16;41,8421;1;12;17;4;8
16;41,8421;1;9;18;0;9
16;41,8421;1;7;19;0;7
16;41,8421;1;11;20;0;11
17;41,8421;1;1;3;0;1
17;41,8421;1;1;5;0;1
17;41,8421;1;10;6;7;3
17;41,8421;1;7;7;5;2
17;41,8421;1;13;8;11;2
17;41,8421;1;9;9;8;1
17;41,8421;1;10;10;10;0
17;41,8421;1;14;11;11;3
17;41,8421;1;21;12;17;4
17;41,8421;1;13;13;10;3
17;41,8421;1;10;14;8;2
17;41,8421;1;20;15;17;3
17;41,8421;1;22;16;20;2
17;41,8421;1;22;17;22;0
17;41,8421;1;23;18;19;4
17;41,8421;1;26;19;23;3
17;41,8421;1;29;20;21;8
18;41,8421;1;3;1;3;0
18;41,8421;1;8;2;8;0
18;41,8421;1;2;3;2;0
18;41,8421;1;14;4;14;0
18;41,8421;1;12;5;12;0
18;41,8421;1;11;6;10;1
18;41,8421;1;7;7;5;2
18;41,8421;1;9;8;8;1
18;41,8421;1;20;9;20;0
18;41,8421;1;14;10;12;2
18;41,8421;1;10;11;10;0
18;41,8421;1;20;12;18;2
18;41,8421;1;16;13;16;0
18;41,8421;1;9;14;8;1
18;41,8421;1;9;15;9;0
18;41,8421;1;4;16;3;1
18;41,8421;1;7;17;6;1
18;41,8421;1;8;18;1;7
18;41,8421;1;12;19;11;1
18;41,8421;1;10;20;9;1
19;41,8421;1;5;1;5;0
19;41,8421;1;3;2;3;0
19;41,8421;1;4;4;4;0
19;41,8421;1;1;5;1;0
19;41,8421;1;2;7;2;0
19;41,8421;1;1;8;1;0
19;41,8421;1;1;9;1;0
19;41,8421;1;1;10;1;0
19;41,8421;1;1;11;1;0
19;41,8421;1;5;14;5;0
19;41,8421;1;14;15;14;0
19;41,8421;1;8;16;8;0
19;41,8421;1;9;17;9;0
19;41,8421;1;16;18;15;1
19;41,8421;1;17;19;17;0
19;41,8421;1;31;20;31;0
20;41,8421;1;2;4;2;0
20;41,8421;1;3;5;3;0
20;41,8421;1;3;6;3;0
20;41,8421;1;5;7;5;0
20;41,8421;1;3;8;3;0
20;41,8421;1;3;9;3;0
20;41,8421;1;4;10;4;0
20;41,8421;1;2;11;2;0
20;41,8421;1;4;12;4;0
20;41,8421;1;6;13;6;0
20;41,8421;1;15;14;15;0
20;41,8421;1;14;15;14;0
20;41,8421;1;16;16;14;2
20;41,8421;1;13;17;12;1
20;41,8421;1;17;18;17;0
20;41,8421;1;17;19;17;0
20;41,8421;1;5;20;5;0
21;41,8421;1;1;1;0;1
21;41,8421;1;8;2;7;1
21;41,8421;1;6;3;5;1
21;41,8421;1;8;4;7;1
21;41,8421;1;14;5;14;0
21;41,8421;1;15;6;15;0
21;41,8421;1;27;7;25;2
21;41,8421;1;17;8;17;0
21;41,8421;1;17;9;16;1
21;41,8421;1;17;10;17;0
21;41,8421;1;12;11;12;0
21;41,8421;1;12;12;11;1
21;41,8421;1;21;13;18;3
21;41,8421;1;14;14;12;2
21;41,8421;1;14;15;14;0
21;41,8421;1;7;16;7;0
21;41,8421;1;13;17;11;2
21;41,8421;1;10;18;10;0
21;41,8421;1;11;19;11;0
21;41,8421;1;16;20;14;2
22;41,8421;1;2;3;2;0
22;41,8421;1;2;4;2;0
22;41,8421;1;7;5;6;1
22;41,8421;1;12;6;12;0
22;41,8421;1;6;7;6;0
22;41,8421;1;6;8;6;0
22;41,8421;1;9;9;9;0
22;41,8421;1;11;10;9;2
22;41,8421;1;12;11;10;2
22;41,8421;1;10;12;9;1
22;41,8421;1;15;13;13;2
22;41,8421;1;16;14;11;5
22;41,8421;1;21;15;17;4
22;41,8421;1;21;16;19;2
22;41,8421;1;18;17;15;3
22;41,8421;1;20;18;18;2
22;41,8421;1;19;19;16;3
22;41,8421;1;23;20;17;6
23;41,8421;1;1;5;0;1
23;41,8421;1;4;7;3;1
23;41,8421;1;7;8;7;0
23;41,8421;1;2;10;2;0
23;41,8421;1;4;11;2;2
23;41,8421;1;4;12;1;3
23;41,8421;1;11;13;7;4
23;41,8421;1;6;14;5;1
23;41,8421;1;14;15;9;5
23;41,8421;1;15;16;10;5
23;41,8421;1;13;17;10;3
23;41,8421;1;17;18;12;5
23;41,8421;1;12;19;8;4
23;41,8421;1;14;20;8;6
24;41,8421;1;2;1;1;1
24;41,8421;1;1;2;1;0
24;41,8421;1;3;3;2;1
24;41,8421;1;2;4;2;0
24;41,8421;1;3;5;2;1
24;41,8421;1;7;6;4;3
24;41,8421;1;5;7;1;4
24;41,8421;1;12;8;6;6
24;41,8421;1;15;9;10;5
24;41,8421;1;20;10;6;14
24;41,8421;1;18;11;9;9
24;41,8421;1;17;12;11;6
24;41,8421;1;5;13;4;1
24;41,8421;1;4;14;2;2
24;41,8421;1;16;15;12;4
24;41,8421;1;8;16;4;4
24;41,8421;1;12;17;5;7
24;41,8421;1;20;18;8;12
24;41,8421;1;24;19;10;14
24;41,8421;1;18;20;4;14
25;41,8421;1;2;1;2;0
25;41,8421;1;1;5;1;0
25;41,8421;1;1;7;1;0
25;41,8421;1;1;8;1;0
25;41,8421;1;6;9;6;0
25;41,8421;1;4;10;4;0
25;41,8421;1;3;11;2;1
25;41,8421;1;5;12;5;0
25;41,8421;1;3;13;2;1
25;41,8421;1;7;14;7;0
25;41,8421;1;9;15;8;1
25;41,8421;1;14;16;14;0
25;41,8421;1;10;17;9;1
25;41,8421;1;15;18;14;1
25;41,8421;1;6;19;6;0
25;41,8421;1;11;20;6;5
26;41,8421;1;1;1;1;0
26;41,8421;1;1;2;1;0
26;41,8421;1;1;3;1;0
26;41,8421;1;2;4;2;0
26;41,8421;1;3;5;3;0
26;41,8421;1;5;6;1;4
26;41,8421;1;4;7;4;0
26;41,8421;1;5;8;5;0
26;41,8421;1;5;9;5;0
26;41,8421;1;2;10;2;0
26;41,8421;1;1;13;0;1
26;41,8421;1;2;14;2;0
26;41,8421;1;2;15;2;0
26;41,8421;1;2;17;1;1
26;41,8421;1;1;18;1;0
26;41,8421;1;3;19;3;0
26;41,8421;1;8;20;8;0
27;41,8421;1;2;4;2;0
27;41,8421;1;5;5;5;0
27;41,8421;1;6;6;6;0
27;41,8421;1;2;7;2;0
27;41,8421;1;5;8;5;0
27;41,8421;1;4;9;4;0
27;41,8421;1;11;10;11;0
27;41,8421;1;6;11;6;0
27;41,8421;1;5;12;5;0
27;41,8421;1;13;14;11;2
27;41,8421;1;14;15;12;2
27;41,8421;1;11;16;10;1
27;41,8421;1;27;17;24;3
27;41,8421;1;26;18;18;8
27;41,8421;1;17;19;13;4
27;41,8421;1;18;20;11;7
28;41,8421;1;2;2;2;0
28;41,8421;1;1;4;1;0
28;41,8421;1;1;5;1;0
28;41,8421;1;7;6;5;2
28;41,8421;1;9;7;6;3
28;41,8421;1;2;8;2;0
28;41,8421;1;2;9;0;2
28;41,8421;1;10;10;6;4
28;41,8421;1;2;12;1;1
28;41,8421;1;3;13;3;0
28;41,8421;1;5;15;5;0
28;41,8421;1;5;16;5;0
28;41,8421;1;8;17;4;4
28;41,8421;1;10;18;1;9
28;41,8421;1;10;19;4;6
28;41,8421;1;14;20;7;7
29;41,8421;1;3;4;3;0
29;41,8421;1;2;5;2;0
29;41,8421;1;2;6;2;0
29;41,8421;1;4;7;2;2
29;41,8421;1;3;8;3;0
29;41,8421;1;2;9;1;1
29;41,8421;1;7;10;1;6
29;41,8421;1;14;11;8;6
29;41,8421;1;20;12;11;9
29;41,8421;1;25;13;13;12
29;41,8421;1;25;14;12;13
29;41,8421;1;26;15;20;6
29;41,8421;1;20;16;14;6
29;41,8421;1;28;17;14;14
29;41,8421;1;18;18;7;11
29;41,8421;1;27;19;12;15
29;41,8421;1;26;20;8;18
30;41,8421;1;4;4;2;2
30;41,8421;1;7;6;6;1
30;41,8421;1;5;7;1;4
30;41,8421;1;16;8;5;11
30;41,8421;1;6;9;2;4
30;41,8421;1;9;10;1;8
30;41,8421;1;12;11;7;5
30;41,8421;1;16;12;5;11
30;41,8421;1;14;13;8;6
30;41,8421;1;20;14;6;14
30;41,8421;1;17;15;1;16
30;41,8421;1;16;16;5;11
30;41,8421;1;24;17;12;12
30;41,8421;1;28;18;14;14
30;41,8421;1;28;19;16;12
30;41,8421;1;28;20;8;20
31;41,8421;1;5;5;5;0
31;41,8421;1;5;6;5;0
31;41,8421;1;9;7;8;1
31;41,8421;1;13;8;10;3
31;41,8421;1;8;9;6;2
31;41,8421;1;7;10;4;3
31;41,8421;1;19;11;16;3
31;41,8421;1;20;12;16;4
31;41,8421;1;16;13;8;8
31;41,8421;1;29;14;21;8
31;41,8421;1;18;15;14;4
31;41,8421;1;15;16;10;5
31;41,8421;1;16;17;9;7
31;41,8421;1;18;18;9;9
31;41,8421;1;16;19;6;10
31;41,8421;1;19;20;9;10
32;41,8421;1;1;6;0;1
32;41,8421;1;2;7;2;0
32;41,8421;1;7;8;6;1
32;41,8421;1;5;9;5;0
32;41,8421;1;7;10;6;1
32;41,8421;1;9;11;6;3
32;41,8421;1;2;12;2;0
