estaca;Area;Esfuerzo;size;distancia;m;c
14;35;1;15;11;15;0
14;35;1;28;12;28;0
14;35;1;15;13;15;0
14;35;1;4;14;4;0
14;35;1;14;15;14;0
14;35;1;7;16;7;0
14;35;1;9;17;9;0
14;35;1;16;18;16;0
14;35;1;18;19;18;0
14;35;1;36;20;36;0
15;35;1;1;2;0;1
15;35;1;1;3;0;1
15;35;1;9;4;3;6
15;35;1;12;5;7;5
15;35;1;7;6;5;2
15;35;1;13;7;7;6
15;35;1;10;8;5;5
15;35;1;11;9;5;6
15;35;1;6;10;2;4
15;35;1;7;11;5;2
15;35;1;12;12;9;3
15;35;1;11;13;10;1
15;35;1;7;14;5;2
15;35;1;15;15;7;8
15;35;1;5;16;1;4
15;35;1;20;17;12;8
15;35;1;13;18;11;2
15;35;1;16;19;11;5
15;35;1;19;20;13;6
16;35;1;2;2;0;2
16;35;1;2;3;0;2
16;35;1;3;4;0;3
16;35;1;7;5;0;7
16;35;1;5;6;0;5
16;35;1;9;7;0;9
16;35;1;10;8;0;10
16;35;1;14;9;0;14
16;35;1;9;10;2;7
16;35;1;13;11;2;11
16;35;1;10;12;2;8
16;35;1;12;13;4;8
16;35;1;14;14;2;12
16;35;1;12;15;2;10
16;35;1;10;16;3;7
16;35;1;8;17;0;8
16;35;1;12;18;0;12
16;35;1;5;19;0;5
16;35;1;12;20;0;12
17;35;1;9;4;8;1
17;35;1;18;5;17;1
17;35;1;15;6;15;0
17;35;1;13;7;8;5
17;35;1;5;8;4;1
17;35;1;14;9;12;2
17;35;1;13;10;12;1
17;35;1;19;11;16;3
17;35;1;1;12;1;0
17;35;1;15;13;14;1
17;35;1;22;14;20;2
17;35;1;24;15;22;2
17;35;1;22;16;21;1
17;35;1;26;17;24;2
17;35;1;29;18;28;1
17;35;1;29;19;28;1
17;35;1;26;20;22;4
18;35;1;4;1;4;0
18;35;1;4;2;4;0
18;35;1;5;3;5;0
18;35;1;2;4;2;0
18;35;1;11;5;11;0
18;35;1;1;6;1;0
18;35;1;8;7;8;0
18;35;1;11;8;11;0
18;35;1;12;9;12;0
18;35;1;14;10;14;0
18;35;1;13;11;13;0
18;35;1;20;12;20;0
18;35;1;23;13;23;0
18;35;1;31;14;31;0
18;35;1;10;15;10;0
18;35;1;29;16;26;3
18;35;1;14;17;10;4
18;35;1;19;18;18;1
18;35;1;18;19;18;0
18;35;1;14;20;14;0
19;35;1;5;2;5;0
19;35;1;6;3;6;0
19;35;1;5;4;5;0
19;35;1;5;5;5;0
19;35;1;1;7;1;0
19;35;1;5;8;5;0
19;35;1;4;9;4;0
19;35;1;4;10;2;2
19;35;1;1;11;1;0
19;35;1;5;12;5;0
19;35;1;2;13;2;0
19;35;1;2;14;2;0
19;35;1;3;15;3;0
19;35;1;7;16;6;1
19;35;1;12;17;11;1
19;35;1;19;18;19;0
19;35;1;17;19;16;1
19;35;1;30;20;29;1
20;35;1;1;4;1;0
20;35;1;4;5;4;0
20;35;1;1;6;1;0
20;35;1;4;7;4;0
20;35;1;4;8;4;0
20;35;1;3;9;3;0
20;35;1;5;10;5;0
20;35;1;6;11;6;0
20;35;1;6;12;6;0
20;35;1;17;13;17;0
20;35;1;12;14;12;0
20;35;1;13;15;13;0
20;35;1;21;16;21;0
20;35;1;17;17;17;0
20;35;1;28;18;28;0
20;35;1;19;19;19;0
20;35;1;23;20;23;0
21;35;1;1;1;1;0
21;35;1;11;2;11;0
21;35;1;9;3;9;0
21;35;1;11;4;11;0
21;35;1;19;5;19;0
21;35;1;10;6;10;0
21;35;1;8;7;8;0
21;35;1;19;8;19;0
21;35;1;10;9;10;0
21;35;1;13;10;13;0
21;35;1;5;11;5;0
21;35;1;9;12;9;0
21;35;1;6;13;6;0
21;35;1;12;14;12;0
21;35;1;13;15;13;0
21;35;1;9;16;9;0
21;35;1;2;17;2;0
21;35;1;4;18;4;0
21;35;1;9;19;9;0
21;35;1;15;20;15;0
22;35;1;5;3;5;0
22;35;1;5;4;4;1
22;35;1;10;5;10;0
22;35;1;3;6;2;1
22;35;1;9;7;9;0
22;35;1;7;8;6;1
22;35;1;7;9;7;0
22;35;1;9;10;8;1
22;35;1;13;11;11;2
22;35;1;12;12;8;4
22;35;1;6;13;4;2
22;35;1;22;14;18;4
22;35;1;22;15;20;2
22;35;1;14;16;13;1
22;35;1;18;17;12;6
22;35;1;28;18;28;0
22;35;1;20;19;20;0
22;35;1;18;20;18;0
23;35;1;1;3;1;0
23;35;1;1;5;1;0
23;35;1;5;6;5;0
23;35;1;4;7;4;0
23;35;1;1;8;1;0
23;35;1;5;9;4;1
23;35;1;9;10;8;1
23;35;1;7;11;6;1
23;35;1;11;12;10;1
23;35;1;10;13;10;0
23;35;1;13;14;10;3
23;35;1;12;15;11;1
23;35;1;14;16;13;1
23;35;1;20;17;17;3
23;35;1;15;18;15;0
23;35;1;15;19;15;0
23;35;1;16;20;14;2
24;35;1;4;2;0;4
24;35;1;4;3;0;4
24;35;1;4;4;3;1
24;35;1;6;5;6;0
24;35;1;9;6;8;1
24;35;1;12;7;9;3
24;35;1;17;8;13;4
24;35;1;6;9;6;0
24;35;1;19;10;19;0
24;35;1;10;11;10;0
24;35;1;12;12;12;0
24;35;1;10;13;10;0
24;35;1;9;14;9;0
24;35;1;15;15;15;0
24;35;1;19;16;16;3
24;35;1;13;17;13;0
24;35;1;22;18;21;1
24;35;1;14;19;14;0
24;35;1;23;20;19;4
25;35;1;1;1;1;0
25;35;1;2;2;2;0
25;35;1;1;3;1;0
25;35;1;1;6;1;0
25;35;1;1;8;1;0
25;35;1;2;9;2;0
25;35;1;4;10;4;0
25;35;1;5;11;5;0
25;35;1;5;12;4;1
25;35;1;3;13;3;0
25;35;1;8;14;7;1
25;35;1;6;15;6;0
25;35;1;12;16;10;2
25;35;1;8;17;8;0
25;35;1;13;18;11;2
25;35;1;5;19;3;2
25;35;1;10;20;8;2
26;35;1;2;3;2;0
26;35;1;2;4;2;0
26;35;1;7;5;7;0
26;35;1;3;6;2;1
26;35;1;6;7;6;0
26;35;1;8;8;8;0
26;35;1;3;9;3;0
26;35;1;9;10;9;0
26;35;1;2;11;2;0
26;35;1;1;12;1;0
26;35;1;1;14;0;1
26;35;1;5;15;5;0
26;35;1;3;16;3;0
26;35;1;3;17;3;0
26;35;1;4;18;2;2
26;35;1;5;19;5;0
26;35;1;15;20;15;0
27;35;1;2;3;2;0
27;35;1;7;4;7;0
27;35;1;3;5;3;0
27;35;1;6;6;6;0
27;35;1;4;7;4;0
27;35;1;7;8;7;0
27;35;1;6;9;6;0
27;35;1;7;10;7;0
27;35;1;4;11;4;0
27;35;1;5;12;5;0
27;35;1;11;13;11;0
27;35;1;25;14;25;0
27;35;1;19;15;19;0
27;35;1;15;16;15;0
27;35;1;28;17;28;0
27;35;1;39;18;37;2
27;35;1;15;19;15;0
27;35;1;15;20;13;2
28;35;1;1;3;1;0
28;35;1;3;4;2;1
28;35;1;3;5;2;1
28;35;1;8;6;7;1
28;35;1;11;7;6;5
28;35;1;11;8;10;1
28;35;1;9;9;8;1
28;35;1;4;10;3;1
28;35;1;11;11;10;1
28;35;1;12;12;9;3
28;35;1;7;13;5;2
28;35;1;7;14;3;4
28;35;1;5;15;3;2
28;35;1;10;16;9;1
28;35;1;10;17;5;5
28;35;1;5;18;3;2
28;35;1;5;19;4;1
28;35;1;18;20;7;11
29;35;1;2;4;2;0
29;35;1;2;5;2;0
29;35;1;2;6;2;0
29;35;1;2;7;2;0
29;35;1;16;8;15;1
29;35;1;10;9;10;0
29;35;1;7;10;7;0
29;35;1;10;11;10;0
29;35;1;10;12;9;1
29;35;1;18;13;18;0
29;35;1;21;14;21;0
29;35;1;47;15;45;2
29;35;1;34;16;34;0
29;35;1;23;17;17;6
29;35;1;34;18;33;1
29;35;1;53;19;53;0
29;35;1;29;20;27;2
30;35;1;1;4;0;1
30;35;1;2;5;2;0
30;35;1;2;6;2;0
30;35;1;8;7;8;0
30;35;1;16;8;16;0
30;35;1;10;9;10;0
30;35;1;10;10;9;1
30;35;1;14;11;14;0
30;35;1;13;12;10;3
30;35;1;11;13;8;3
30;35;1;15;14;13;2
30;35;1;18;15;16;2
30;35;1;22;16;20;2
30;35;1;15;17;15;0
30;35;1;35;18;34;1
30;35;1;21;19;21;0
30;35;1;20;20;15;5
31;35;1;1;4;1;0
31;35;1;9;5;9;0
31;35;1;7;6;7;0
31;35;1;13;7;13;0
31;35;1;10;8;10;0
31;35;1;16;9;16;0
31;35;1;7;10;7;0
31;35;1;6;11;6;0
31;35;1;17;12;17;0
31;35;1;22;13;22;0
31;35;1;48;14;48;0
31;35;1;16;15;16;0
31;35;1;15;16;15;0
31;35;1;5;17;5;0
31;35;1;5;18;5;0
31;35;1;1;19;1;0
31;35;1;11;20;11;0
32;35;1;2;7;2;0
32;35;1;4;8;4;0
32;35;1;4;9;4;0
32;35;1;9;10;9;0
32;35;1;6;11;6;0
32;35;1;8;12;6;2
32;35;1;9;13;8;1
32;35;1;13;14;10;3
32;35;1;14;15;13;1
32;35;1;8;16;7;1
32;35;1;13;17;11;2
32;35;1;10;18;5;5
32;35;1;9;19;5;4
32;35;1;7;20;4;3
33;35;1;3;5;3;0
33;35;1;2;6;2;0
33;35;1;1;7;1;0
33;35;1;1;8;1;0
33;35;1;1;9;1;0
33;35;1;1;13;1;0
33;35;1;1;15;1;0
34;35;1;2;3;2;0
34;35;1;1;4;0;1
34;35;1;8;5;5;3
34;35;1;7;6;5;2
34;35;1;12;7;9;3
34;35;1;11;8;5;6
34;35;1;8;9;3;5
34;35;1;16;10;6;10
34;35;1;12;11;8;4
34;35;1;18;12;7;11
34;35;1;11;13;3;8
34;35;1;8;14;1;7
34;35;1;19;15;8;11
34;35;1;11;16;6;5
34;35;1;23;17;13;10
34;35;1;7;18;3;4
34;35;1;8;19;4;4
34;35;1;9;20;7;2
35;35;1;1;1;1;0
35;35;1;2;2;2;0
35;35;1;3;3;3;0
35;35;1;3;5;3;0
35;35;1;2;6;2;0
35;35;1;5;7;4;1
35;35;1;5;8;3;2
35;35;1;4;9;3;1
35;35;1;4;10;3;1
35;35;1;3;11;2;1
35;35;1;6;12;5;1
35;35;1;4;13;3;1
35;35;1;12;14;8;4
35;35;1;6;15;5;1
35;35;1;16;16;14;2
35;35;1;7;17;6;1
35;35;1;18;18;14;4
35;35;1;15;19;14;1
35;35;1;26;20;23;3
36;35;1;1;2;1;0
36;35;1;4;4;4;0
36;35;1;11;5;11;0
36;35;1;4;6;4;0
36;35;1;2;8;2;0
36;35;1;15;9;15;0
36;35;1;19;10;19;0
36;35;1;31;11;31;0
36;35;1;29;12;29;0
36;35;1;32;13;32;0
36;35;1;19;14;19;0
36;35;1;38;15;38;0
36;35;1;27;16;27;0
36;35;1;20;17;20;0
36;35;1;28;18;28;0
36;35;1;20;19;20;0
36;35;1;26;20;26;0
37;35;1;5;3;5;0
37;35;1;3;4;2;1
37;35;1;4;5;4;0
37;35;1;7;6;7;0
37;35;1;3;7;3;0
37;35;1;4;8;2;2
37;35;1;7;9;7;0
37;35;1;6;10;4;2
37;35;1;6;11;3;3
37;35;1;10;12;5;5
37;35;1;7;13;5;2
37;35;1;11;14;8;3
37;35;1;5;15;4;1
37;35;1;10;16;7;3
37;35;1;7;17;7;0
37;35;1;18;18;14;4
37;35;1;19;19;17;2
37;35;1;34;20;28;6
38;35;1;3;3;3;0
38;35;1;11;4;11;0
38;35;1;8;5;8;0
38;35;1;9;6;9;0
38;35;1;6;7;6;0
38;35;1;5;8;5;0
38;35;1;3;9;3;0
38;35;1;23;10;23;0
38;35;1;17;11;17;0
38;35;1;17;12;17;0
38;35;1;15;13;15;0
38;35;1;14;14;14;0
38;35;1;10;15;10;0
38;35;1;6;16;6;0
38;35;1;11;17;11;0
38;35;1;16;18;16;0
38;35;1;13;19;13;0
38;35;1;11;20;11;0
39;35;1;1;3;1;0
39;35;1;1;4;1;0
39;35;1;1;8;1;0
39;35;1;1;9;1;0
39;35;1;15;10;15;0
39;35;1;14;11;13;1
39;35;1;16;12;16;0
39;35;1;19;13;19;0
39;35;1;21;14;21;0
39;35;1;22;15;22;0
39;35;1;21;16;21;0
39;35;1;23;17;22;1
39;35;1;29;18;29;0
39;35;1;21;19;20;1
39;35;1;27;20;26;1
40;35;1;1;2;1;0
40;35;1;4;3;4;0
40;35;1;2;4;2;0
40;35;1;2;5;2;0
40;35;1;2;7;2;0
40;35;1;2;8;2;0
40;35;1;9;9;9;0
40;35;1;7;10;7;0
40;35;1;14;11;14;0
40;35;1;10;12;10;0
40;35;1;13;13;13;0
40;35;1;18;14;18;0
40;35;1;7;15;7;0
40;35;1;7;16;7;0
40;35;1;11;17;11;0
40;35;1;13;18;13;0
40;35;1;13;19;13;0
40;35;1;31;20;31;0
41;35;1;3;15;3;0
41;35;1;2;16;2;0
41;35;1;2;17;2;0
41;35;1;2;18;2;0
41;35;1;3;19;3;0
41;35;1;2;20;2;0
42;35;1;0;0;0;0
43;35;1;1;7;1;0
43;35;1;4;8;4;0
43;35;1;5;9;5;0
43;35;1;4;10;4;0
43;35;1;3;11;3;0
43;35;1;5;12;5;0
43;35;1;7;13;7;0
43;35;1;11;14;11;0
43;35;1;10;15;10;0
43;35;1;5;16;5;0
43;35;1;4;17;4;0
43;35;1;4;18;4;0
43;35;1;4;19;4;0
44;35;1;5;4;4;1
44;35;1;14;5;14;0
44;35;1;12;6;12;0
44;35;1;20;7;20;0
44;35;1;32;8;32;0
44;35;1;17;9;17;0
44;35;1;11;10;11;0
44;35;1;21;11;21;0
44;35;1;12;12;12;0
44;35;1;8;13;8;0
44;35;1;12;14;12;0
44;35;1;12;15;12;0
44;35;1;18;16;18;0
44;35;1;26;17;26;0
44;35;1;38;18;38;0
44;35;1;31;19;31;0
44;35;1;24;20;24;0
