Yr;estacas;nidos;Area_tot;N_est;se_N;ICinf_N;ICsup_N;df_N;D_est;se_D;ICinf_D;ICsup_D;df_D;AIC;D_estHa;ICinf_DHa;ICsup_DHa
2015;44;6644;350000;49891,66467;3796,352486;42844,36724;58098,14367;54,86865647;0,142547613;0,010846721;0,122412478;0,165994696;54,86865647;37580,49257;1425,476133;1224,124778;1659,946962
2016;44;7530;350000;58464,49369;4283,203849;50486,0149;67703,83895;53,37952109;0,167041411;0,012237725;0,144245757;0,19343954;53,37952109;42641,58761;1670,414105;1442,457568;1934,395399
2017;44;6434;350000;49260,87829;4109,864903;41749,49357;58123,67822;90,77361729;0,140745367;0,011742471;0,119284267;0,166067652;90,77361729;36618,1384;1407,453665;1192,842673;1660,676521
2018;44;6761;350000;58253,19101;4278,042212;50282,2026;67487,78071;52,29648624;0,166437689;0,012222978;0,143663436;0,192822231;52,29648624;38771,15628;1664,376886;1436,63436;1928,222306
2019;44;7291;350000;57335,95636;4708,688586;48634,65669;67594,01867;51,04261398;0,163817018;0,013453396;0,138956162;0,193125768;51,04261398;41416,47309;1638,170182;1389,56162;1931,257676
2021;44;6821;350000;48844,61547;4182,505373;41216,31564;57884,75808;89,84380037;0,139556044;0,011950015;0,117760902;0,165385023;89,84380037;38624,80365;1395,560442;1177,609018;1653,850231
