"","Yr","D_estHa","ICinf_DHa","ICsup_DHa","N_35ha","ICinf_N_35ha","ICsup_N_35ha"
"1","2015",1201.61982034381,1040.2660891541,1388.00082757403,42056.6937120333,36409.3131203934,48580.0289650911
"2","2016",1361.85991077497,1184.18002890259,1566.1997089199,47665.0968771239,41446.3010115907,54816.9898121966
"3","2017",1163.63966346961,1012.25572041583,1337.66323972309,40727.3882214363,35428.9502145539,46818.213390308
"4","2018",1222.96105134931,1062.40782967839,1407.77740085949,42803.636797226,37184.2740387438,49272.2090300821
"5","2019",1318.63487509433,1125.43883737185,1544.99549515771,46152.2206283015,39390.3593080146,54074.8423305199
"6","2021",1233.63166685207,1068.82066772277,1423.8563450524,43177.1083398223,37408.7233702969,49834.972076834
