estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
34;34,9898;1;10;9;6;4;2015;;;;
34;34,9898;1;19;10;12;7;2015;;;;
34;34,9898;1;14;11;6;8;2015;;;;
34;34,9898;1;10;12;3;7;2015;;;;
34;34,9898;1;8;13;1;7;2015;;;;
34;34,9898;1;12;14;9;3;2015;;;;
34;34,9898;1;21;15;14;7;2015;;;;
34;34,9898;1;15;16;11;4;2015;;;;
34;34,9898;1;15;17;6;9;2015;;;;
34;34,9898;1;25;18;14;11;2015;;;;
34;34,9898;1;18;19;11;7;2015;;;;
34;34,9898;1;18;20;8;10;2015;;;;
35;34,9898;1;1;1;1;0;2015;;;;
35;34,9898;1;1;2;1;0;2015;;;;
35;34,9898;1;3;3;3;0;2015;;;;
35;34,9898;1;3;4;3;0;2015;;;;
35;34,9898;1;1;5;1;0;2015;;;;
35;34,9898;1;1;6;1;0;2015;;;;
35;34,9898;1;7;7;7;0;2015;;;;
35;34,9898;1;8;8;8;0;2015;;;;
35;34,9898;1;3;9;3;0;2015;;;;
35;34,9898;1;1;10;1;0;2015;;;;
35;34,9898;1;3;11;3;0;2015;;;;
35;34,9898;1;6;12;6;0;2015;;;;
35;34,9898;1;6;13;6;0;2015;;;;
35;34,9898;1;4;14;4;0;2015;;;;
35;34,9898;1;5;15;5;0;2015;;;;
35;34,9898;1;5;16;5;0;2015;;;;
35;34,9898;1;8;17;8;0;2015;;;;
35;34,9898;1;11;18;11;0;2015;;;;
35;34,9898;1;4;19;4;0;2015;;;;
35;34,9898;1;18;20;18;0;2015;;;;
36;34,9898;1;1;3;1;0;2015;;;;
36;34,9898;1;2;4;2;0;2015;;;;
36;34,9898;1;3;5;3;0;2015;;;;
36;34,9898;1;2;6;2;0;2015;;;;
36;34,9898;1;3;7;3;0;2015;;;;
36;34,9898;1;3;10;3;0;2015;;;;
36;34,9898;1;12;11;12;0;2015;;;;
36;34,9898;1;16;12;15;1;2015;;;;
36;34,9898;1;20;13;20;0;2015;;;;
36;34,9898;1;27;14;27;0;2015;;;;
36;34,9898;1;25;15;25;0;2015;;;;
36;34,9898;1;17;16;17;0;2015;;;;
36;34,9898;1;16;17;16;0;2015;;;;
36;34,9898;1;21;18;21;0;2015;;;;
36;34,9898;1;23;19;23;0;2015;;;;
36;34,9898;1;28;20;28;0;2015;;;;
37;34,9898;1;3;4;2;1;2015;;;;
37;34,9898;1;4;6;3;1;2015;;;;
37;34,9898;1;5;7;4;1;2015;;;;
37;34,9898;1;2;8;2;0;2015;;;;
37;34,9898;1;5;9;4;1;2015;;;;
37;34,9898;1;6;10;3;3;2015;;;;
37;34,9898;1;7;11;4;3;2015;;;;
37;34,9898;1;7;12;3;4;2015;;;;
37;34,9898;1;10;13;6;4;2015;;;;
37;34,9898;1;9;14;5;4;2015;;;;
37;34,9898;1;4;15;3;1;2015;;;;
37;34,9898;1;9;16;2;7;2015;;;;
37;34,9898;1;11;17;6;5;2015;;;;
37;34,9898;1;18;18;9;9;2015;;;;
37;34,9898;1;16;19;13;3;2015;;;;
37;34,9898;1;38;20;28;10;2015;;;;
38;34,9898;1;2;2;2;0;2015;;;;
38;34,9898;1;8;3;8;0;2015;;;;
38;34,9898;1;5;4;5;0;2015;;;;
38;34,9898;1;20;5;20;0;2015;;;;
38;34,9898;1;2;6;2;0;2015;;;;
38;34,9898;1;4;7;4;0;2015;;;;
38;34,9898;1;5;8;5;0;2015;;;;
38;34,9898;1;14;9;14;0;2015;;;;
38;34,9898;1;14;10;14;0;2015;;;;
38;34,9898;1;14;11;14;0;2015;;;;
38;34,9898;1;16;12;16;0;2015;;;;
38;34,9898;1;26;13;25;1;2015;;;;
38;34,9898;1;12;14;12;0;2015;;;;
38;34,9898;1;13;15;13;0;2015;;;;
38;34,9898;1;7;16;7;0;2015;;;;
38;34,9898;1;2;17;2;0;2015;;;;
38;34,9898;1;6;18;6;0;2015;;;;
38;34,9898;1;14;19;14;0;2015;;;;
38;34,9898;1;16;20;15;1;2015;;;;
39;34,9898;1;1;3;1;0;2015;;;;
39;34,9898;1;2;7;2;0;2015;;;;
39;34,9898;1;3;9;2;1;2015;;;;
39;34,9898;1;14;10;14;0;2015;;;;
39;34,9898;1;16;11;15;1;2015;;;;
39;34,9898;1;15;12;9;6;2015;;;;
39;34,9898;1;13;13;11;2;2015;;;;
39;34,9898;1;19;14;14;5;2015;;;;
39;34,9898;1;17;15;12;5;2015;;;;
39;34,9898;1;17;16;15;2;2015;;;;
39;34,9898;1;22;17;21;1;2015;;;;
39;34,9898;1;17;18;13;4;2015;;;;
39;34,9898;1;21;19;17;4;2015;;;;
39;34,9898;1;19;20;17;2;2015;;;;
40;34,9898;1;5;1;5;0;2015;;;;
40;34,9898;1;2;4;2;0;2015;;;;
40;34,9898;1;2;5;2;0;2015;;;;
40;34,9898;1;3;6;3;0;2015;;;;
40;34,9898;1;5;7;5;0;2015;;;;
40;34,9898;1;6;8;3;3;2015;;;;
40;34,9898;1;10;9;10;0;2015;;;;
40;34,9898;1;5;10;5;0;2015;;;;
40;34,9898;1;19;11;19;0;2015;;;;
40;34,9898;1;15;12;15;0;2015;;;;
40;34,9898;1;16;13;16;0;2015;;;;
40;34,9898;1;15;14;15;0;2015;;;;
40;34,9898;1;19;15;18;1;2015;;;;
40;34,9898;1;10;16;10;0;2015;;;;
40;34,9898;1;10;17;10;0;2015;;;;
40;34,9898;1;10;18;10;0;2015;;;;
40;34,9898;1;22;19;22;0;2015;;;;
40;34,9898;1;30;20;30;0;2015;;;;
41;34,9898;1;4;6;3;1;2015;;;;
41;34,9898;1;6;7;5;1;2015;;;;
41;34,9898;1;3;8;2;1;2015;;;;
41;34,9898;1;2;10;1;1;2015;;;;
41;34,9898;1;1;13;0;1;2015;;;;
41;34,9898;1;5;14;4;1;2015;;;;
41;34,9898;1;5;15;5;0;2015;;;;
41;34,9898;1;6;16;5;1;2015;;;;
41;34,9898;1;1;17;1;0;2015;;;;
41;34,9898;1;3;18;3;0;2015;;;;
41;34,9898;1;4;20;4;0;2015;;;;
42;34,9898;1;1;14;1;0;2015;;;;
42;34,9898;1;3;15;3;0;2015;;;;
42;34,9898;1;1;17;0;1;2015;;;;
42;34,9898;1;3;18;1;2;2015;;;;
42;34,9898;1;2;19;2;0;2015;;;;
42;34,9898;1;2;20;1;1;2015;;;;
43;34,9898;1;1;3;1;0;2015;;;;
43;34,9898;1;1;6;1;0;2015;;;;
43;34,9898;1;1;7;1;0;2015;;;;
43;34,9898;1;1;9;1;0;2015;;;;
43;34,9898;1;3;11;3;0;2015;;;;
43;34,9898;1;5;12;5;0;2015;;;;
43;34,9898;1;4;13;4;0;2015;;;;
43;34,9898;1;12;14;12;0;2015;;;;
43;34,9898;1;14;15;14;0;2015;;;;
43;34,9898;1;13;16;13;0;2015;;;;
43;34,9898;1;9;17;9;0;2015;;;;
43;34,9898;1;3;18;3;0;2015;;;;
43;34,9898;1;3;19;3;0;2015;;;;
43;34,9898;1;6;20;6;0;2015;;;;
44;34,9898;1;5;4;5;0;2015;;;;
44;34,9898;1;1;5;1;0;2015;;;;
44;34,9898;1;6;6;6;0;2015;;;;
44;34,9898;1;22;7;22;0;2015;;;;
44;34,9898;1;20;8;20;0;2015;;;;
44;34,9898;1;15;9;15;0;2015;;;;
44;34,9898;1;26;10;26;0;2015;;;;
44;34,9898;1;7;11;6;1;2015;;;;
44;34,9898;1;13;12;13;0;2015;;;;
44;34,9898;1;11;13;11;0;2015;;;;
44;34,9898;1;15;14;13;2;2015;;;;
44;34,9898;1;10;15;10;0;2015;;;;
44;34,9898;1;14;16;14;0;2015;;;;
44;34,9898;1;14;17;14;0;2015;;;;
44;34,9898;1;21;18;21;0;2015;;;;
44;34,9898;1;22;19;22;0;2015;;;;
44;34,9898;1;14;20;14;0;2015;;;;
1;35,6445;1;1;3;0;1;2016;;;;
1;35,6445;1;1;6;1;0;2016;;;;
1;35,6445;1;3;7;3;0;2016;;;;
1;35,6445;1;2;9;2;0;2016;;;;
1;35,6445;1;2;10;2;0;2016;;;;
1;35,6445;1;2;11;1;1;2016;;;;
1;35,6445;1;3;12;3;0;2016;;;;
1;35,6445;1;3;13;2;1;2016;;;;
1;35,6445;1;6;14;6;0;2016;;;;
1;35,6445;1;3;15;3;0;2016;;;;
1;35,6445;1;4;16;4;0;2016;;;;
1;35,6445;1;4;17;4;0;2016;;;;
1;35,6445;1;5;18;5;0;2016;;;;
1;35,6445;1;6;19;5;1;2016;;;;
1;35,6445;1;4;20;4;0;2016;;;;
2;35,6445;1;2;2;0;2;2016;;;;
2;35,6445;1;4;3;1;3;2016;;;;
2;35,6445;1;9;4;5;4;2016;;;;
2;35,6445;1;11;5;7;4;2016;;;;
2;35,6445;1;14;6;8;6;2016;;;;
2;35,6445;1;21;7;12;9;2016;;;;
2;35,6445;1;22;8;8;14;2016;;;;
2;35,6445;1;19;9;6;13;2016;;;;
2;35,6445;1;13;10;3;10;2016;;;;
2;35,6445;1;11;11;1;10;2016;;;;
2;35,6445;1;12;12;5;7;2016;;;;
2;35,6445;1;6;13;4;2;2016;;;;
2;35,6445;1;4;14;2;2;2016;;;;
2;35,6445;1;11;15;6;5;2016;;;;
2;35,6445;1;15;16;10;5;2016;;;;
2;35,6445;1;19;17;14;5;2016;;;;
2;35,6445;1;24;18;20;4;2016;;;;
2;35,6445;1;20;19;12;8;2016;;;;
2;35,6445;1;39;20;28;11;2016;;;;
3;35,6445;1;6;3;0;6;2016;;;;
3;35,6445;1;5;4;0;5;2016;;;;
3;35,6445;1;13;5;1;12;2016;;;;
3;35,6445;1;10;6;0;10;2016;;;;
3;35,6445;1;9;7;5;4;2016;;;;
3;35,6445;1;18;8;4;14;2016;;;;
3;35,6445;1;15;9;3;12;2016;;;;
3;35,6445;1;30;10;20;10;2016;;;;
3;35,6445;1;13;11;9;4;2016;;;;
3;35,6445;1;7;12;3;4;2016;;;;
3;35,6445;1;12;13;9;3;2016;;;;
3;35,6445;1;6;14;3;3;2016;;;;
3;35,6445;1;17;15;6;11;2016;;;;
3;35,6445;1;12;16;7;5;2016;;;;
3;35,6445;1;10;17;2;8;2016;;;;
3;35,6445;1;24;18;16;8;2016;;;;
3;35,6445;1;8;19;1;7;2016;;;;
3;35,6445;1;24;20;13;11;2016;;;;
4;35,6445;1;1;1;1;0;2016;;;;
4;35,6445;1;1;4;1;0;2016;;;;
4;35,6445;1;2;5;1;1;2016;;;;
4;35,6445;1;1;6;1;0;2016;;;;
4;35,6445;1;4;7;4;0;2016;;;;
4;35,6445;1;5;8;0;5;2016;;;;
4;35,6445;1;7;9;3;4;2016;;;;
4;35,6445;1;3;10;1;2;2016;;;;
4;35,6445;1;3;11;2;1;2016;;;;
4;35,6445;1;6;12;4;2;2016;;;;
4;35,6445;1;8;13;3;5;2016;;;;
4;35,6445;1;14;14;3;11;2016;;;;
4;35,6445;1;9;15;4;5;2016;;;;
4;35,6445;1;6;16;2;4;2016;;;;
4;35,6445;1;5;17;5;0;2016;;;;
4;35,6445;1;8;18;4;4;2016;;;;
4;35,6445;1;1;19;1;0;2016;;;;
4;35,6445;1;20;20;13;7;2016;;;;
5;35,6445;1;5;3;2;3;2016;;;;
5;35,6445;1;3;5;0;3;2016;;;;
5;35,6445;1;2;6;1;1;2016;;;;
5;35,6445;1;4;7;2;2;2016;;;;
5;35,6445;1;18;8;10;8;2016;;;;
5;35,6445;1;4;9;1;3;2016;;;;
5;35,6445;1;6;10;3;3;2016;;;;
5;35,6445;1;11;11;6;5;2016;;;;
5;35,6445;1;6;12;2;4;2016;;;;
5;35,6445;1;7;13;3;4;2016;;;;
5;35,6445;1;9;14;9;0;2016;;;;
5;35,6445;1;13;15;8;5;2016;;;;
5;35,6445;1;3;16;3;0;2016;;;;
5;35,6445;1;12;17;12;0;2016;;;;
5;35,6445;1;14;18;12;2;2016;;;;
5;35,6445;1;9;19;9;0;2016;;;;
5;35,6445;1;8;20;8;0;2016;;;;
6;35,6445;1;5;2;5;0;2016;;;;
6;35,6445;1;2;3;2;0;2016;;;;
6;35,6445;1;5;4;4;1;2016;;;;
6;35,6445;1;4;5;4;0;2016;;;;
6;35,6445;1;6;6;6;0;2016;;;;
6;35,6445;1;6;7;5;1;2016;;;;
6;35,6445;1;5;8;5;0;2016;;;;
6;35,6445;1;9;9;7;2;2016;;;;
6;35,6445;1;9;10;9;0;2016;;;;
6;35,6445;1;3;11;3;0;2016;;;;
6;35,6445;1;10;12;8;2;2016;;;;
6;35,6445;1;9;13;5;4;2016;;;;
6;35,6445;1;6;14;5;1;2016;;;;
6;35,6445;1;5;15;5;0;2016;;;;
6;35,6445;1;9;16;5;4;2016;;;;
6;35,6445;1;12;17;10;2;2016;;;;
6;35,6445;1;4;18;2;2;2016;;;;
6;35,6445;1;12;19;7;5;2016;;;;
6;35,6445;1;6;20;5;1;2016;;;;
7;35,6445;1;11;3;6;5;2016;;;;
7;35,6445;1;12;4;10;2;2016;;;;
7;35,6445;1;22;5;17;5;2016;;;;
7;35,6445;1;19;6;16;3;2016;;;;
7;35,6445;1;10;7;9;1;2016;;;;
7;35,6445;1;21;8;15;6;2016;;;;
7;35,6445;1;18;9;14;4;2016;;;;
7;35,6445;1;6;10;5;1;2016;;;;
7;35,6445;1;7;11;7;0;2016;;;;
7;35,6445;1;13;12;12;1;2016;;;;
7;35,6445;1;14;13;13;1;2016;;;;
7;35,6445;1;10;14;7;3;2016;;;;
7;35,6445;1;18;15;16;2;2016;;;;
7;35,6445;1;5;16;5;0;2016;;;;
7;35,6445;1;9;17;7;2;2016;;;;
7;35,6445;1;6;18;6;0;2016;;;;
7;35,6445;1;14;19;12;2;2016;;;;
7;35,6445;1;19;20;17;2;2016;;;;
8;35,6445;1;2;6;0;2;2016;;;;
8;35,6445;1;5;7;0;5;2016;;;;
8;35,6445;1;4;8;0;4;2016;;;;
8;35,6445;1;2;9;0;2;2016;;;;
8;35,6445;1;2;10;0;2;2016;;;;
8;35,6445;1;2;11;0;2;2016;;;;
8;35,6445;1;2;12;0;2;2016;;;;
8;35,6445;1;6;13;0;6;2016;;;;
8;35,6445;1;1;14;0;1;2016;;;;
8;35,6445;1;1;15;0;1;2016;;;;
8;35,6445;1;9;16;0;9;2016;;;;
8;35,6445;1;8;17;0;8;2016;;;;
8;35,6445;1;6;18;0;6;2016;;;;
8;35,6445;1;15;19;6;9;2016;;;;
8;35,6445;1;20;20;9;11;2016;;;;
9;35,6445;1;1;2;0;1;2016;;;;
9;35,6445;1;6;4;2;4;2016;;;;
9;35,6445;1;5;5;5;0;2016;;;;
9;35,6445;1;3;6;3;0;2016;;;;
9;35,6445;1;1;7;1;0;2016;;;;
9;35,6445;1;2;9;2;0;2016;;;;
9;35,6445;1;1;10;1;0;2016;;;;
9;35,6445;1;2;11;2;0;2016;;;;
9;35,6445;1;3;12;3;0;2016;;;;
9;35,6445;1;2;13;2;0;2016;;;;
9;35,6445;1;3;14;3;0;2016;;;;
9;35,6445;1;4;15;4;0;2016;;;;
9;35,6445;1;9;16;9;0;2016;;;;
9;35,6445;1;11;17;10;1;2016;;;;
9;35,6445;1;9;18;9;0;2016;;;;
9;35,6445;1;3;19;3;0;2016;;;;
9;35,6445;1;4;20;4;0;2016;;;;
9;35,6445;1;1;NA;1;0;2016;;;;
10;35,6445;1;3;4;2;1;2016;;;;
10;35,6445;1;5;5;5;0;2016;;;;
10;35,6445;1;5;6;5;0;2016;;;;
10;35,6445;1;7;7;7;0;2016;;;;
10;35,6445;1;10;8;10;0;2016;;;;
10;35,6445;1;4;9;3;1;2016;;;;
10;35,6445;1;4;10;2;2;2016;;;;
10;35,6445;1;6;11;4;2;2016;;;;
10;35,6445;1;5;12;0;5;2016;;;;
10;35,6445;1;1;13;0;1;2016;;;;
10;35,6445;1;2;14;2;0;2016;;;;
10;35,6445;1;4;15;3;1;2016;;;;
10;35,6445;1;4;16;2;2;2016;;;;
10;35,6445;1;8;17;6;2;2016;;;;
10;35,6445;1;14;18;10;4;2016;;;;
10;35,6445;1;16;19;12;4;2016;;;;
10;35,6445;1;10;20;8;2;2016;;;;
11;35,6445;1;1;1;1;0;2016;;;;
11;35,6445;1;1;2;1;0;2016;;;;
11;35,6445;1;9;3;9;0;2016;;;;
11;35,6445;1;12;4;7;5;2016;;;;
11;35,6445;1;13;5;8;5;2016;;;;
11;35,6445;1;10;6;8;2;2016;;;;
11;35,6445;1;18;7;15;3;2016;;;;
11;35,6445;1;11;8;8;3;2016;;;;
11;35,6445;1;6;9;4;2;2016;;;;
11;35,6445;1;20;10;16;4;2016;;;;
11;35,6445;1;11;11;5;6;2016;;;;
11;35,6445;1;5;12;5;0;2016;;;;
11;35,6445;1;10;13;10;0;2016;;;;
11;35,6445;1;8;14;6;2;2016;;;;
11;35,6445;1;5;15;3;2;2016;;;;
11;35,6445;1;4;16;1;3;2016;;;;
11;35,6445;1;2;17;1;1;2016;;;;
11;35,6445;1;7;18;7;0;2016;;;;
11;35,6445;1;11;19;11;0;2016;;;;
11;35,6445;1;15;20;14;1;2016;;;;
12;35,6445;1;4;1;4;0;2016;;;;
12;35,6445;1;9;2;9;0;2016;;;;
12;35,6445;1;7;3;7;0;2016;;;;
12;35,6445;1;7;4;7;0;2016;;;;
12;35,6445;1;8;5;8;0;2016;;;;
12;35,6445;1;11;6;11;0;2016;;;;
12;35,6445;1;6;7;6;0;2016;;;;
12;35,6445;1;7;8;6;1;2016;;;;
12;35,6445;1;2;9;2;0;2016;;;;
12;35,6445;1;7;10;7;0;2016;;;;
12;35,6445;1;6;11;6;0;2016;;;;
12;35,6445;1;10;12;10;0;2016;;;;
12;35,6445;1;10;13;10;0;2016;;;;
12;35,6445;1;8;14;8;0;2016;;;;
12;35,6445;1;13;15;13;0;2016;;;;
12;35,6445;1;12;16;11;1;2016;;;;
12;35,6445;1;12;17;12;0;2016;;;;
12;35,6445;1;10;18;10;0;2016;;;;
12;35,6445;1;16;19;15;1;2016;;;;
12;35,6445;1;9;20;9;0;2016;;;;
13;35,6445;1;3;2;0;3;2016;;;;
13;35,6445;1;10;3;2;8;2016;;;;
13;35,6445;1;12;4;0;12;2016;;;;
13;35,6445;1;20;5;4;16;2016;;;;
13;35,6445;1;9;6;0;9;2016;;;;
13;35,6445;1;12;7;0;12;2016;;;;
13;35,6445;1;13;8;0;13;2016;;;;
13;35,6445;1;7;9;0;7;2016;;;;
13;35,6445;1;7;10;0;7;2016;;;;
13;35,6445;1;14;11;0;14;2016;;;;
13;35,6445;1;8;12;0;8;2016;;;;
13;35,6445;1;8;13;0;8;2016;;;;
13;35,6445;1;7;14;1;6;2016;;;;
13;35,6445;1;11;15;3;8;2016;;;;
13;35,6445;1;14;16;4;10;2016;;;;
13;35,6445;1;20;17;9;11;2016;;;;
13;35,6445;1;9;18;1;8;2016;;;;
13;35,6445;1;25;19;9;16;2016;;;;
13;35,6445;1;20;20;4;16;2016;;;;
14;35,6445;1;3;5;2;1;2016;;;;
14;35,6445;1;8;6;8;0;2016;;;;
14;35,6445;1;12;7;12;0;2016;;;;
14;35,6445;1;16;8;16;0;2016;;;;
14;35,6445;1;25;9;25;0;2016;;;;
14;35,6445;1;12;10;12;0;2016;;;;
14;35,6445;1;14;11;14;0;2016;;;;
14;35,6445;1;14;12;14;0;2016;;;;
14;35,6445;1;14;13;14;0;2016;;;;
14;35,6445;1;13;14;13;0;2016;;;;
14;35,6445;1;12;15;12;0;2016;;;;
14;35,6445;1;3;16;3;0;2016;;;;
14;35,6445;1;12;17;10;2;2016;;;;
14;35,6445;1;12;18;10;2;2016;;;;
14;35,6445;1;13;19;13;0;2016;;;;
14;35,6445;1;25;20;25;0;2016;;;;
15;35,6445;1;6;4;2;4;2016;;;;
15;35,6445;1;6;5;4;2;2016;;;;
15;35,6445;1;4;6;3;1;2016;;;;
15;35,6445;1;13;7;10;3;2016;;;;
15;35,6445;1;17;8;13;4;2016;;;;
15;35,6445;1;10;9;7;3;2016;;;;
15;35,6445;1;14;10;10;4;2016;;;;
15;35,6445;1;12;11;6;6;2016;;;;
15;35,6445;1;7;12;3;4;2016;;;;
15;35,6445;1;3;13;0;3;2016;;;;
15;35,6445;1;14;14;11;3;2016;;;;
15;35,6445;1;7;15;3;4;2016;;;;
15;35,6445;1;11;16;7;4;2016;;;;
15;35,6445;1;15;17;11;4;2016;;;;
15;35,6445;1;16;18;12;4;2016;;;;
15;35,6445;1;25;19;21;4;2016;;;;
15;35,6445;1;34;20;30;4;2016;;;;
16;35,6445;1;1;2;0;1;2016;;;;
16;35,6445;1;4;4;0;4;2016;;;;
16;35,6445;1;4;5;0;4;2016;;;;
16;35,6445;1;7;6;0;7;2016;;;;
16;35,6445;1;7;7;0;7;2016;;;;
16;35,6445;1;8;8;2;6;2016;;;;
16;35,6445;1;11;9;1;10;2016;;;;
16;35,6445;1;16;10;1;15;2016;;;;
16;35,6445;1;5;11;0;5;2016;;;;
16;35,6445;1;11;12;1;10;2016;;;;
16;35,6445;1;9;13;1;8;2016;;;;
16;35,6445;1;8;14;0;8;2016;;;;
16;35,6445;1;21;15;8;13;2016;;;;
16;35,6445;1;9;16;0;9;2016;;;;
16;35,6445;1;10;17;2;8;2016;;;;
16;35,6445;1;8;18;0;8;2016;;;;
16;35,6445;1;12;19;0;12;2016;;;;
16;35,6445;1;9;20;0;9;2016;;;;
17;35,6445;1;1;4;0;1;2016;;;;
17;35,6445;1;11;5;9;2;2016;;;;
17;35,6445;1;10;6;9;1;2016;;;;
17;35,6445;1;5;7;4;1;2016;;;;
17;35,6445;1;8;8;5;3;2016;;;;
17;35,6445;1;11;9;7;4;2016;;;;
17;35,6445;1;7;10;3;4;2016;;;;
17;35,6445;1;13;11;8;5;2016;;;;
17;35,6445;1;15;12;13;2;2016;;;;
17;35,6445;1;16;13;13;3;2016;;;;
17;35,6445;1;22;14;17;5;2016;;;;
17;35,6445;1;23;15;21;2;2016;;;;
17;35,6445;1;26;16;21;5;2016;;;;
17;35,6445;1;28;17;26;2;2016;;;;
17;35,6445;1;31;18;25;6;2016;;;;
17;35,6445;1;27;19;18;9;2016;;;;
17;35,6445;1;19;20;17;2;2016;;;;
18;35,6445;1;3;2;3;0;2016;;;;
18;35,6445;1;5;3;5;0;2016;;;;
18;35,6445;1;1;4;1;0;2016;;;;
18;35,6445;1;8;5;8;0;2016;;;;
18;35,6445;1;3;6;3;0;2016;;;;
18;35,6445;1;10;7;10;0;2016;;;;
18;35,6445;1;10;8;10;0;2016;;;;
18;35,6445;1;5;9;5;0;2016;;;;
18;35,6445;1;13;10;12;1;2016;;;;
18;35,6445;1;13;11;13;0;2016;;;;
18;35,6445;1;18;12;18;0;2016;;;;
18;35,6445;1;23;13;23;0;2016;;;;
18;35,6445;1;21;14;21;0;2016;;;;
18;35,6445;1;16;15;16;0;2016;;;;
18;35,6445;1;17;16;15;2;2016;;;;
18;35,6445;1;19;17;12;7;2016;;;;
18;35,6445;1;21;18;18;3;2016;;;;
18;35,6445;1;22;19;13;9;2016;;;;
18;35,6445;1;19;20;16;3;2016;;;;
19;35,6445;1;2;2;2;0;2016;;;;
19;35,6445;1;3;3;3;0;2016;;;;
19;35,6445;1;4;4;4;0;2016;;;;
19;35,6445;1;2;5;2;0;2016;;;;
19;35,6445;1;2;6;2;0;2016;;;;
19;35,6445;1;1;7;1;0;2016;;;;
19;35,6445;1;4;9;4;0;2016;;;;
19;35,6445;1;4;10;4;0;2016;;;;
19;35,6445;1;5;11;4;1;2016;;;;
19;35,6445;1;3;12;2;1;2016;;;;
19;35,6445;1;5;13;5;0;2016;;;;
19;35,6445;1;6;14;6;0;2016;;;;
19;35,6445;1;5;15;5;0;2016;;;;
19;35,6445;1;6;16;6;0;2016;;;;
19;35,6445;1;8;17;7;1;2016;;;;
19;35,6445;1;15;18;14;1;2016;;;;
19;35,6445;1;21;19;19;2;2016;;;;
19;35,6445;1;26;20;26;0;2016;;;;
20;35,6445;1;3;5;3;0;2016;;;;
20;35,6445;1;6;6;6;0;2016;;;;
20;35,6445;1;4;7;4;0;2016;;;;
20;35,6445;1;4;8;4;0;2016;;;;
20;35,6445;1;5;9;5;0;2016;;;;
20;35,6445;1;1;11;1;0;2016;;;;
20;35,6445;1;6;12;6;0;2016;;;;
20;35,6445;1;15;13;15;0;2016;;;;
20;35,6445;1;17;14;17;0;2016;;;;
20;35,6445;1;18;15;15;3;2016;;;;
20;35,6445;1;14;16;14;0;2016;;;;
20;35,6445;1;15;17;14;1;2016;;;;
20;35,6445;1;14;18;14;0;2016;;;;
20;35,6445;1;19;19;19;0;2016;;;;
20;35,6445;1;30;20;30;0;2016;;;;
21;35,6445;1;3;2;3;0;2016;;;;
21;35,6445;1;3;3;3;0;2016;;;;
21;35,6445;1;15;4;15;0;2016;;;;
21;35,6445;1;18;5;18;0;2016;;;;
21;35,6445;1;18;6;18;0;2016;;;;
21;35,6445;1;16;7;15;1;2016;;;;
21;35,6445;1;25;8;25;0;2016;;;;
21;35,6445;1;20;9;20;0;2016;;;;
21;35,6445;1;13;10;13;0;2016;;;;
21;35,6445;1;18;11;18;0;2016;;;;
21;35,6445;1;13;12;13;0;2016;;;;
21;35,6445;1;14;13;14;0;2016;;;;
21;35,6445;1;17;14;17;0;2016;;;;
21;35,6445;1;10;15;9;1;2016;;;;
21;35,6445;1;6;16;6;0;2016;;;;
21;35,6445;1;6;17;6;0;2016;;;;
21;35,6445;1;6;18;6;0;2016;;;;
21;35,6445;1;10;19;10;0;2016;;;;
21;35,6445;1;21;20;21;0;2016;;;;
22;35,6445;1;1;3;1;0;2016;;;;
22;35,6445;1;4;4;4;0;2016;;;;
22;35,6445;1;14;5;14;0;2016;;;;
22;35,6445;1;13;6;13;0;2016;;;;
22;35,6445;1;1;8;1;0;2016;;;;
22;35,6445;1;11;9;8;3;2016;;;;
22;35,6445;1;10;10;9;1;2016;;;;
22;35,6445;1;11;11;10;1;2016;;;;
22;35,6445;1;12;12;10;2;2016;;;;
22;35,6445;1;5;13;3;2;2016;;;;
22;35,6445;1;13;14;12;1;2016;;;;
22;35,6445;1;24;15;20;4;2016;;;;
22;35,6445;1;23;16;18;5;2016;;;;
22;35,6445;1;18;17;15;3;2016;;;;
22;35,6445;1;17;18;12;5;2016;;;;
22;35,6445;1;19;19;13;6;2016;;;;
22;35,6445;1;18;20;15;3;2016;;;;
23;35,6445;1;1;5;1;0;2016;;;;
23;35,6445;1;3;6;2;1;2016;;;;
23;35,6445;1;7;7;7;0;2016;;;;
23;35,6445;1;5;8;4;1;2016;;;;
23;35,6445;1;2;9;2;0;2016;;;;
23;35,6445;1;12;10;10;2;2016;;;;
23;35,6445;1;10;11;10;0;2016;;;;
23;35,6445;1;9;12;8;1;2016;;;;
23;35,6445;1;10;13;9;1;2016;;;;
23;35,6445;1;17;14;17;0;2016;;;;
23;35,6445;1;26;15;24;2;2016;;;;
23;35,6445;1;11;16;11;0;2016;;;;
23;35,6445;1;16;17;11;5;2016;;;;
23;35,6445;1;24;18;22;2;2016;;;;
23;35,6445;1;19;19;18;1;2016;;;;
23;35,6445;1;20;20;18;2;2016;;;;
24;35,6445;1;1;1;1;0;2016;;;;
24;35,6445;1;4;2;4;0;2016;;;;
24;35,6445;1;3;3;3;0;2016;;;;
24;35,6445;1;3;4;3;0;2016;;;;
24;35,6445;1;2;5;2;0;2016;;;;
24;35,6445;1;6;6;4;2;2016;;;;
24;35,6445;1;9;7;7;2;2016;;;;
24;35,6445;1;19;8;16;3;2016;;;;
24;35,6445;1;22;9;22;0;2016;;;;
24;35,6445;1;14;10;13;1;2016;;;;
24;35,6445;1;22;11;21;1;2016;;;;
24;35,6445;1;17;12;17;0;2016;;;;
24;35,6445;1;7;13;6;1;2016;;;;
