estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
3;34,9898;1;18;10;5;13;2015;;;;
3;34,9898;1;16;11;8;8;2015;;;;
3;34,9898;1;18;12;11;7;2015;;;;
3;34,9898;1;18;13;15;3;2015;;;;
3;34,9898;1;19;14;14;5;2015;;;;
3;34,9898;1;9;15;6;3;2015;;;;
3;34,9898;1;16;16;6;10;2015;;;;
3;34,9898;1;10;17;5;5;2015;;;;
3;34,9898;1;15;18;9;6;2015;;;;
3;34,9898;1;12;19;8;4;2015;;;;
3;34,9898;1;28;20;17;11;2015;;;;
4;34,9898;1;3;3;1;2;2015;;;;
4;34,9898;1;3;6;3;0;2015;;;;
4;34,9898;1;2;7;1;1;2015;;;;
4;34,9898;1;6;8;0;6;2015;;;;
4;34,9898;1;6;9;3;3;2015;;;;
4;34,9898;1;4;10;1;3;2015;;;;
4;34,9898;1;3;11;3;0;2015;;;;
4;34,9898;1;7;12;2;5;2015;;;;
4;34,9898;1;9;13;4;5;2015;;;;
4;34,9898;1;11;14;2;9;2015;;;;
4;34,9898;1;7;15;3;4;2015;;;;
4;34,9898;1;9;16;2;7;2015;;;;
4;34,9898;1;13;17;7;6;2015;;;;
4;34,9898;1;5;18;5;0;2015;;;;
4;34,9898;1;10;19;4;6;2015;;;;
4;34,9898;1;4;20;2;2;2015;;;;
5;34,9898;1;1;3;1;0;2015;;;;
5;34,9898;1;1;5;0;1;2015;;;;
5;34,9898;1;4;6;0;4;2015;;;;
5;34,9898;1;3;7;2;1;2015;;;;
5;34,9898;1;8;8;2;6;2015;;;;
5;34,9898;1;11;9;4;7;2015;;;;
5;34,9898;1;10;10;7;3;2015;;;;
5;34,9898;1;10;11;8;2;2015;;;;
5;34,9898;1;11;12;8;3;2015;;;;
5;34,9898;1;6;13;5;1;2015;;;;
5;34,9898;1;7;14;3;4;2015;;;;
5;34,9898;1;11;15;7;4;2015;;;;
5;34,9898;1;4;16;0;4;2015;;;;
5;34,9898;1;7;17;7;0;2015;;;;
5;34,9898;1;9;18;8;1;2015;;;;
5;34,9898;1;14;19;14;0;2015;;;;
5;34,9898;1;8;20;8;0;2015;;;;
6;34,9898;1;4;2;4;0;2015;;;;
6;34,9898;1;1;3;1;0;2015;;;;
6;34,9898;1;5;4;3;2;2015;;;;
6;34,9898;1;6;5;5;1;2015;;;;
6;34,9898;1;6;6;6;0;2015;;;;
6;34,9898;1;4;7;3;1;2015;;;;
6;34,9898;1;6;8;5;1;2015;;;;
6;34,9898;1;7;9;5;2;2015;;;;
6;34,9898;1;6;10;6;0;2015;;;;
6;34,9898;1;5;11;4;1;2015;;;;
6;34,9898;1;9;12;5;4;2015;;;;
6;34,9898;1;11;13;8;3;2015;;;;
6;34,9898;1;7;14;4;3;2015;;;;
6;34,9898;1;5;15;3;2;2015;;;;
6;34,9898;1;4;16;1;3;2015;;;;
6;34,9898;1;13;17;6;7;2015;;;;
6;34,9898;1;6;18;4;2;2015;;;;
6;34,9898;1;13;19;10;3;2015;;;;
6;34,9898;1;15;20;8;7;2015;;;;
7;34,9898;1;3;2;3;0;2015;;;;
7;34,9898;1;7;3;3;4;2015;;;;
7;34,9898;1;10;4;6;4;2015;;;;
7;34,9898;1;9;5;6;3;2015;;;;
7;34,9898;1;16;6;14;2;2015;;;;
7;34,9898;1;22;7;18;4;2015;;;;
7;34,9898;1;11;8;9;2;2015;;;;
7;34,9898;1;16;9;14;2;2015;;;;
7;34,9898;1;12;10;8;4;2015;;;;
7;34,9898;1;16;11;14;2;2015;;;;
7;34,9898;1;7;12;5;2;2015;;;;
7;34,9898;1;15;13;11;4;2015;;;;
7;34,9898;1;21;14;19;2;2015;;;;
7;34,9898;1;13;15;9;4;2015;;;;
7;34,9898;1;6;16;3;3;2015;;;;
7;34,9898;1;6;17;3;3;2015;;;;
7;34,9898;1;7;18;3;4;2015;;;;
