Sample.Label;distance;año;tipo_nido;Region.Label;Effort;Area
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;8;2015;cueva;coloniaML;1;350000
2;9;2015;mata;coloniaML;1;350000
2;9;2015;mata;coloniaML;1;350000
2;9;2015;mata;coloniaML;1;350000
2;9;2015;mata;coloniaML;1;350000
2;9;2015;mata;coloniaML;1;350000
2;9;2015;mata;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;9;2015;cueva;coloniaML;1;350000
2;10;2015;cueva;coloniaML;1;350000
2;10;2015;cueva;coloniaML;1;350000
2;10;2015;cueva;coloniaML;1;350000
2;10;2015;cueva;coloniaML;1;350000
2;10;2015;cueva;coloniaML;1;350000
2;10;2015;cueva;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;mata;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;11;2015;cueva;coloniaML;1;350000
2;12;2015;mata;coloniaML;1;350000
2;12;2015;mata;coloniaML;1;350000
2;12;2015;mata;coloniaML;1;350000
2;12;2015;mata;coloniaML;1;350000
2;12;2015;mata;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;12;2015;cueva;coloniaML;1;350000
2;13;2015;mata;coloniaML;1;350000
2;13;2015;mata;coloniaML;1;350000
2;13;2015;cueva;coloniaML;1;350000
2;13;2015;cueva;coloniaML;1;350000
2;13;2015;cueva;coloniaML;1;350000
2;14;2015;cueva;coloniaML;1;350000
2;15;2015;mata;coloniaML;1;350000
2;15;2015;mata;coloniaML;1;350000
2;15;2015;mata;coloniaML;1;350000
2;15;2015;mata;coloniaML;1;350000
2;15;2015;mata;coloniaML;1;350000
2;15;2015;mata;coloniaML;1;350000
2;15;2015;cueva;coloniaML;1;350000
2;15;2015;cueva;coloniaML;1;350000
2;15;2015;cueva;coloniaML;1;350000
2;15;2015;cueva;coloniaML;1;350000
2;15;2015;cueva;coloniaML;1;350000
2;15;2015;cueva;coloniaML;1;350000
2;16;2015;mata;coloniaML;1;350000
2;16;2015;mata;coloniaML;1;350000
2;16;2015;mata;coloniaML;1;350000
2;16;2015;mata;coloniaML;1;350000
2;16;2015;mata;coloniaML;1;350000
2;16;2015;cueva;coloniaML;1;350000
2;16;2015;cueva;coloniaML;1;350000
2;16;2015;cueva;coloniaML;1;350000
2;16;2015;cueva;coloniaML;1;350000
2;16;2015;cueva;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;mata;coloniaML;1;350000
2;17;2015;cueva;coloniaML;1;350000
2;17;2015;cueva;coloniaML;1;350000
2;17;2015;cueva;coloniaML;1;350000
2;17;2015;cueva;coloniaML;1;350000
2;17;2015;cueva;coloniaML;1;350000
2;17;2015;cueva;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;mata;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;18;2015;cueva;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;mata;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;19;2015;cueva;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;mata;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
