Sample.Label;distance;ano;tipo_nido;Region.Label;Effort;Area
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;8;2015;cueva;coloniaML;1;349898
2;9;2015;mata;coloniaML;1;349898
2;9;2015;mata;coloniaML;1;349898
2;9;2015;mata;coloniaML;1;349898
2;9;2015;mata;coloniaML;1;349898
2;9;2015;mata;coloniaML;1;349898
2;9;2015;mata;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;9;2015;cueva;coloniaML;1;349898
2;10;2015;cueva;coloniaML;1;349898
2;10;2015;cueva;coloniaML;1;349898
2;10;2015;cueva;coloniaML;1;349898
2;10;2015;cueva;coloniaML;1;349898
2;10;2015;cueva;coloniaML;1;349898
2;10;2015;cueva;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;mata;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;11;2015;cueva;coloniaML;1;349898
2;12;2015;mata;coloniaML;1;349898
2;12;2015;mata;coloniaML;1;349898
2;12;2015;mata;coloniaML;1;349898
2;12;2015;mata;coloniaML;1;349898
2;12;2015;mata;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;12;2015;cueva;coloniaML;1;349898
2;13;2015;mata;coloniaML;1;349898
2;13;2015;mata;coloniaML;1;349898
2;13;2015;cueva;coloniaML;1;349898
2;13;2015;cueva;coloniaML;1;349898
2;13;2015;cueva;coloniaML;1;349898
2;14;2015;cueva;coloniaML;1;349898
2;15;2015;mata;coloniaML;1;349898
2;15;2015;mata;coloniaML;1;349898
2;15;2015;mata;coloniaML;1;349898
2;15;2015;mata;coloniaML;1;349898
2;15;2015;mata;coloniaML;1;349898
2;15;2015;mata;coloniaML;1;349898
2;15;2015;cueva;coloniaML;1;349898
2;15;2015;cueva;coloniaML;1;349898
2;15;2015;cueva;coloniaML;1;349898
2;15;2015;cueva;coloniaML;1;349898
2;15;2015;cueva;coloniaML;1;349898
2;15;2015;cueva;coloniaML;1;349898
2;16;2015;mata;coloniaML;1;349898
2;16;2015;mata;coloniaML;1;349898
2;16;2015;mata;coloniaML;1;349898
2;16;2015;mata;coloniaML;1;349898
2;16;2015;mata;coloniaML;1;349898
2;16;2015;cueva;coloniaML;1;349898
2;16;2015;cueva;coloniaML;1;349898
2;16;2015;cueva;coloniaML;1;349898
2;16;2015;cueva;coloniaML;1;349898
2;16;2015;cueva;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;mata;coloniaML;1;349898
2;17;2015;cueva;coloniaML;1;349898
2;17;2015;cueva;coloniaML;1;349898
2;17;2015;cueva;coloniaML;1;349898
2;17;2015;cueva;coloniaML;1;349898
2;17;2015;cueva;coloniaML;1;349898
2;17;2015;cueva;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;mata;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;18;2015;cueva;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;mata;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;19;2015;cueva;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;mata;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
2;20;2015;cueva;coloniaML;1;349898
3;1;2015;cueva;coloniaML;1;349898
3;3;2015;cueva;coloniaML;1;349898
3;3;2015;cueva;coloniaML;1;349898
3;3;2015;cueva;coloniaML;1;349898
3;3;2015;cueva;coloniaML;1;349898
3;3;2015;cueva;coloniaML;1;349898
3;4;2015;cueva;coloniaML;1;349898
3;4;2015;cueva;coloniaML;1;349898
3;5;2015;mata;coloniaML;1;349898
3;5;2015;cueva;coloniaML;1;349898
